




Analysis Type:	PANTHER Overrepresentation Test (Released 20200728)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4081749 Released 2020-10-09
Analyzed List:	upload_1 (Saccharomyces cerevisiae)
Reference List:	yeast_background.txt (Saccharomyces cerevisiae)
Test Type:	BINOMIAL
Correction:	NONE
GO biological process complete	yeast_background.txt - REFLIST (4661)	upload_1 (3776)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)
detection of glucose (GO:0051594)	3	2	2.43	-	.82	5.62E-01
positive regulation of transcription from RNA polymerase II promoter involved in meiotic cell cycle (GO:0010673)	3	2	2.43	-	.82	5.62E-01
positive regulation of mitochondrial fusion (GO:0010636)	3	2	2.43	-	.82	5.62E-01
regulation of sexual sporulation resulting in formation of a cellular spore (GO:0043940)	6	4	4.86	-	.82	4.65E-01
negative regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay (GO:1900152)	3	2	2.43	-	.82	5.62E-01
purine nucleobase catabolic process (GO:0006145)	3	2	2.43	-	.82	5.62E-01
positive regulation of triglyceride metabolic process (GO:0090208)	3	2	2.43	-	.82	5.62E-01
positive regulation of Rho protein signal transduction (GO:0035025)	3	2	2.43	-	.82	5.62E-01
regulation of Rho protein signal transduction (GO:0035023)	9	6	7.29	-	.82	4.07E-01
positive regulation of cellular respiration (GO:1901857)	3	2	2.43	-	.82	5.62E-01
snoRNA polyadenylation (GO:0071050)	3	2	2.43	-	.82	5.62E-01
nuclear retention of unspliced pre-mRNA at the site of transcription (GO:0071048)	3	2	2.43	-	.82	5.62E-01
regulation of cytosolic calcium ion concentration (GO:0051480)	3	2	2.43	-	.82	5.62E-01
nuclear mRNA surveillance of spliceosomal pre-mRNA splicing (GO:0071030)	3	2	2.43	-	.82	5.62E-01
mitotic sister chromatid biorientation (GO:1990758)	3	2	2.43	-	.82	5.62E-01
acetyl-CoA biosynthetic process (GO:0006085)	6	4	4.86	-	.82	4.65E-01
positive regulation of G1/S transition of mitotic cell cycle (GO:1900087)	12	8	9.72	-	.82	3.65E-01
regulation of endocytosis (GO:0030100)	24	16	19.44	-	.82	2.58E-01
sorbitol catabolic process (GO:0006062)	3	2	2.43	-	.82	5.62E-01
sorbitol metabolic process (GO:0006060)	3	2	2.43	-	.82	5.62E-01
positive regulation of meiotic cell cycle (GO:0051446)	9	6	7.29	-	.82	4.07E-01
negative regulation of transposition (GO:0010529)	6	4	4.86	-	.82	4.65E-01
negative regulation of transposition, RNA-mediated (GO:0010526)	6	4	4.86	-	.82	4.65E-01
DNA strand renaturation (GO:0000733)	9	6	7.29	-	.82	4.07E-01
cellular sphingolipid homeostasis (GO:0090156)	6	4	4.86	-	.82	4.65E-01
negative regulation of sphingolipid biosynthetic process (GO:0090155)	3	2	2.43	-	.82	5.62E-01
inositol biosynthetic process (GO:0006021)	3	2	2.43	-	.82	5.62E-01
nucleotide-excision repair, DNA damage recognition (GO:0000715)	3	2	2.43	-	.82	5.62E-01
meiotic DNA double-strand break processing (GO:0000706)	6	4	4.86	-	.82	4.65E-01
cadmium ion transmembrane transport (GO:0070574)	6	4	4.86	-	.82	4.65E-01
protein localization to cell division site (GO:0072741)	6	4	4.86	-	.82	4.65E-01
positive regulation of lipid catabolic process (GO:0050996)	3	2	2.43	-	.82	5.62E-01
regulation of lipid catabolic process (GO:0050994)	3	2	2.43	-	.82	5.62E-01
histone H3-K36 demethylation (GO:0070544)	3	2	2.43	-	.82	5.62E-01
acylglycerol biosynthetic process (GO:0046463)	3	2	2.43	-	.82	5.62E-01
neutral lipid biosynthetic process (GO:0046460)	3	2	2.43	-	.82	5.62E-01
dihydrofolate metabolic process (GO:0046452)	3	2	2.43	-	.82	5.62E-01
regulation of transcriptional start site selection at RNA polymerase II promoter (GO:0001178)	3	2	2.43	-	.82	5.62E-01
basic amino acid transmembrane export from vacuole (GO:0034488)	3	2	2.43	-	.82	5.62E-01
vacuolar amino acid transmembrane transport (GO:0034487)	3	2	2.43	-	.82	5.62E-01
positive regulation of actin cytoskeleton reorganization (GO:2000251)	6	4	4.86	-	.82	4.65E-01
regulation of actin cytoskeleton reorganization (GO:2000249)	6	4	4.86	-	.82	4.65E-01
proteasomal protein catabolic process (GO:0010498)	144	96	116.66	-	.82	2.63E-02
actin filament polymerization (GO:0030041)	3	2	2.43	-	.82	5.62E-01
regulation of proline metabolic process (GO:2000214)	3	2	2.43	-	.82	5.62E-01
regulation of ribosomal subunit export from nucleus (GO:2000200)	3	2	2.43	-	.82	5.62E-01
exit from mitosis (GO:0010458)	9	6	7.29	-	.82	4.07E-01
regulation of cell-cell adhesion (GO:0022407)	3	2	2.43	-	.82	5.62E-01
positive regulation of transferase activity (GO:0051347)	51	34	41.32	-	.82	1.42E-01
positive regulation of translational termination (GO:0045905)	3	2	2.43	-	.82	5.62E-01
positive regulation of translational elongation (GO:0045901)	3	2	2.43	-	.82	5.62E-01
establishment of chromosome localization (GO:0051303)	12	8	9.72	-	.82	3.65E-01
plasma membrane selenite transport (GO:0097080)	3	2	2.43	-	.82	5.62E-01
magnesium ion transmembrane transport (GO:1903830)	6	4	4.86	-	.82	4.65E-01
regulation of meiosis I (GO:0060631)	3	2	2.43	-	.82	5.62E-01
regulation of calcium-mediated signaling (GO:0050848)	3	2	2.43	-	.82	5.62E-01
histone H3-K14 acetylation (GO:0044154)	3	2	2.43	-	.82	5.62E-01
regulation of ribonucleoprotein complex localization (GO:2000197)	6	4	4.86	-	.82	4.65E-01
activation of protein kinase activity (GO:0032147)	24	16	19.44	-	.82	2.58E-01
positive regulation of RNA polymerase II transcription preinitiation complex assembly (GO:0045899)	12	8	9.72	-	.82	3.65E-01
regulation of sexual sporulation (GO:0034306)	6	4	4.86	-	.82	4.65E-01
negative regulation of proteolysis (GO:0045861)	9	6	7.29	-	.82	4.07E-01
negative regulation of meiotic nuclear division (GO:0045835)	15	10	12.15	-	.82	3.31E-01
negative regulation of lipid metabolic process (GO:0045833)	12	8	9.72	-	.82	3.65E-01
meiotic spindle disassembly (GO:0051229)	3	2	2.43	-	.82	5.62E-01
negative regulation of endocytosis (GO:0045806)	3	2	2.43	-	.82	5.62E-01
ncRNA polyadenylation (GO:0043629)	6	4	4.86	-	.82	4.65E-01
clathrin-dependent endocytosis (GO:0072583)	9	6	7.29	-	.82	4.07E-01
pyridine-containing compound catabolic process (GO:0072526)	3	2	2.43	-	.82	5.62E-01
D-gluconate metabolic process (GO:0019521)	3	2	2.43	-	.82	5.62E-01
aldonic acid metabolic process (GO:0019520)	3	2	2.43	-	.82	5.62E-01
triglyceride homeostasis (GO:0070328)	3	2	2.43	-	.82	5.62E-01
detection of hexose stimulus (GO:0009732)	3	2	2.43	-	.82	5.62E-01
detection of carbohydrate stimulus (GO:0009730)	3	2	2.43	-	.82	5.62E-01
cellular response to hydrogen peroxide (GO:0070301)	9	6	7.29	-	.82	4.07E-01
gene conversion at mating-type locus (GO:0007534)	3	2	2.43	-	.82	5.62E-01
mating type switching (GO:0007533)	12	8	9.72	-	.82	3.65E-01
regulation of mitophagy (GO:1901524)	6	4	4.86	-	.82	4.65E-01
cell death in response to hydrogen peroxide (GO:0036474)	3	2	2.43	-	.82	5.62E-01
cell death in response to oxidative stress (GO:0036473)	3	2	2.43	-	.82	5.62E-01
detection of monosaccharide stimulus (GO:0034287)	3	2	2.43	-	.82	5.62E-01
positive regulation of protein binding (GO:0032092)	3	2	2.43	-	.82	5.62E-01
indolalkylamine biosynthetic process (GO:0046219)	6	4	4.86	-	.82	4.65E-01
nitric oxide metabolic process (GO:0046209)	3	2	2.43	-	.82	5.62E-01
meiotic sister chromatid cohesion (GO:0051177)	6	4	4.86	-	.82	4.65E-01
cellular response to nitrogen levels (GO:0043562)	12	8	9.72	-	.82	3.65E-01
negative regulation of DNA repair (GO:0045738)	3	2	2.43	-	.82	5.62E-01
positive regulation of cyclin-dependent protein serine/threonine kinase activity (GO:0045737)	6	4	4.86	-	.82	4.65E-01
G2 DNA damage checkpoint (GO:0031572)	3	2	2.43	-	.82	5.62E-01
regulation of actin nucleation (GO:0051125)	15	10	12.15	-	.82	3.31E-01
pexophagy (GO:0000425)	6	4	4.86	-	.82	4.65E-01
response to DNA damage checkpoint signaling (GO:0072423)	3	2	2.43	-	.82	5.62E-01
triglyceride biosynthetic process (GO:0019432)	3	2	2.43	-	.82	5.62E-01
response to DNA integrity checkpoint signaling (GO:0072402)	3	2	2.43	-	.82	5.62E-01
hexitol catabolic process (GO:0019407)	3	2	2.43	-	.82	5.62E-01
D-gluconate catabolic process (GO:0046177)	3	2	2.43	-	.82	5.62E-01
aldonic acid catabolic process (GO:0046176)	3	2	2.43	-	.82	5.62E-01
protein localization to spindle pole body (GO:0071988)	3	2	2.43	-	.82	5.62E-01
nitrogen cycle metabolic process (GO:0071941)	6	4	4.86	-	.82	4.65E-01
inosine metabolic process (GO:0046102)	3	2	2.43	-	.82	5.62E-01
cellular response to nitrogen starvation (GO:0006995)	12	8	9.72	-	.82	3.65E-01
negative regulation of helicase activity (GO:0051097)	3	2	2.43	-	.82	5.62E-01
RNA splicing, via transesterification reactions with guanosine as nucleophile (GO:0000376)	6	4	4.86	-	.82	4.65E-01
Group I intron splicing (GO:0000372)	6	4	4.86	-	.82	4.65E-01
negative regulation of small GTPase mediated signal transduction (GO:0051058)	18	12	14.58	-	.82	3.03E-01
signal transduction involved in cell cycle checkpoint (GO:0072395)	3	2	2.43	-	.82	5.62E-01
gene conversion (GO:0035822)	6	4	4.86	-	.82	4.65E-01
regulation of MAP kinase activity (GO:0043405)	15	10	12.15	-	.82	3.31E-01
regulation of exocytosis (GO:0017157)	9	6	7.29	-	.82	4.07E-01
vesicle fusion with Golgi apparatus (GO:0048280)	9	6	7.29	-	.82	4.07E-01
cellular response to aldehyde (GO:0110096)	3	2	2.43	-	.82	5.62E-01
cellular detoxification of aldehyde (GO:0110095)	3	2	2.43	-	.82	5.62E-01
cytidine metabolic process (GO:0046087)	3	2	2.43	-	.82	5.62E-01
negative regulation of phosphatidylglycerol biosynthetic process (GO:1901352)	3	2	2.43	-	.82	5.62E-01
regulation of phosphatidylglycerol biosynthetic process (GO:1901351)	3	2	2.43	-	.82	5.62E-01
tripeptide transport (GO:0042939)	3	2	2.43	-	.82	5.62E-01
UTP metabolic process (GO:0046051)	3	2	2.43	-	.82	5.62E-01
post-Golgi vesicle-mediated transport (GO:0006892)	81	54	65.62	-	.82	7.99E-02
protein modification by small protein conjugation or removal (GO:0070647)	158	105	128.00	-	.82	1.92E-02
process utilizing autophagic mechanism (GO:0061919)	160	106	129.62	-	.82	1.72E-02
cortical cytoskeleton organization (GO:0030865)	38	25	30.78	-	.81	1.70E-01
positive regulation of cellular component organization (GO:0051130)	143	94	115.85	-	.81	1.95E-02
mRNA 3'-end processing (GO:0031124)	35	23	28.35	-	.81	1.81E-01
vesicle-mediated transport to the plasma membrane (GO:0098876)	35	23	28.35	-	.81	1.81E-01
protein deacylation (GO:0035601)	23	15	18.63	-	.81	2.39E-01
termination of RNA polymerase II transcription (GO:0006369)	23	15	18.63	-	.81	2.39E-01
mitochondrion distribution (GO:0048311)	23	15	18.63	-	.81	2.39E-01
regulation of cell cycle G2/M phase transition (GO:1902749)	20	13	16.20	-	.80	2.58E-01
maintenance of protein location (GO:0045185)	40	26	32.41	-	.80	1.48E-01
regulation of G2/M transition of mitotic cell cycle (GO:0010389)	20	13	16.20	-	.80	2.58E-01
regulation of macroautophagy (GO:0016241)	37	24	29.97	-	.80	1.57E-01
macroautophagy (GO:0016236)	91	59	73.72	-	.80	4.36E-02
protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway (GO:0043328)	17	11	13.77	-	.80	2.79E-01
cortical actin cytoskeleton organization (GO:0030866)	34	22	27.54	-	.80	1.68E-01
regulation of microtubule polymerization or depolymerization (GO:0031110)	17	11	13.77	-	.80	2.79E-01
indolalkylamine metabolic process (GO:0006586)	17	11	13.77	-	.80	2.79E-01
tryptophan metabolic process (GO:0006568)	17	11	13.77	-	.80	2.79E-01
indole-containing compound metabolic process (GO:0042430)	17	11	13.77	-	.80	2.79E-01
cytokinetic process (GO:0032506)	34	22	27.54	-	.80	1.68E-01
localization within membrane (GO:0051668)	17	11	13.77	-	.80	2.79E-01
regulation of cytoskeleton organization (GO:0051493)	82	53	66.43	-	.80	5.10E-02
selective autophagy (GO:0061912)	31	20	25.11	-	.80	1.79E-01
proteasome-mediated ubiquitin-dependent protein catabolic process (GO:0043161)	135	87	109.37	-	.80	1.46E-02
organic hydroxy compound transport (GO:0015850)	45	29	36.46	-	.80	1.21E-01
export from cell (GO:0140352)	84	54	68.05	-	.79	4.49E-02
protein import into peroxisome matrix (GO:0016558)	14	9	11.34	-	.79	3.04E-01
bipolar cellular bud site selection (GO:0007121)	14	9	11.34	-	.79	3.04E-01
cell fate commitment (GO:0045165)	14	9	11.34	-	.79	3.04E-01
meiotic sister chromatid segregation (GO:0045144)	14	9	11.34	-	.79	3.04E-01
actomyosin contractile ring assembly (GO:0000915)	14	9	11.34	-	.79	3.04E-01
assembly of actomyosin apparatus involved in cytokinesis (GO:0000912)	14	9	11.34	-	.79	3.04E-01
intracellular lipid transport (GO:0032365)	14	9	11.34	-	.79	3.04E-01
inositol phosphate metabolic process (GO:0043647)	14	9	11.34	-	.79	3.04E-01
mating type determination (GO:0007531)	14	9	11.34	-	.79	3.04E-01
sex determination (GO:0007530)	14	9	11.34	-	.79	3.04E-01
vacuole organization (GO:0007033)	81	52	65.62	-	.79	4.73E-02
vacuolar transport (GO:0007034)	159	102	128.81	-	.79	7.57E-03
negative regulation of intracellular signal transduction (GO:1902532)	39	25	31.59	-	.79	1.36E-01
organelle disassembly (GO:1903008)	58	37	46.99	-	.79	7.80E-02
ascospore-type prospore assembly (GO:0031321)	11	7	8.91	-	.79	3.34E-01
negative regulation of transcription from RNA polymerase II promoter by glucose (GO:0061987)	11	7	8.91	-	.79	3.34E-01
negative regulation of transcription by glucose (GO:0061986)	11	7	8.91	-	.79	3.34E-01
peptide catabolic process (GO:0043171)	11	7	8.91	-	.79	3.34E-01
meiotic cell cycle checkpoint (GO:0033313)	11	7	8.91	-	.79	3.34E-01
regulation of attachment of spindle microtubules to kinetochore (GO:0051988)	11	7	8.91	-	.79	3.34E-01
positive regulation of chromosome segregation (GO:0051984)	11	7	8.91	-	.79	3.34E-01
mitochondrion disassembly (GO:0061726)	33	21	26.73	-	.79	1.54E-01
positive regulation of macroautophagy (GO:0016239)	22	14	17.82	-	.79	2.19E-01
negative regulation of nuclear division (GO:0051784)	33	21	26.73	-	.79	1.54E-01
carbon catabolite repression of transcription by glucose (GO:0045014)	11	7	8.91	-	.79	3.34E-01
actin nucleation (GO:0045010)	11	7	8.91	-	.79	3.34E-01
nonfunctional rRNA decay (GO:0070651)	22	14	17.82	-	.79	2.19E-01
carbon catabolite activation of transcription from RNA polymerase II promoter (GO:0000436)	22	14	17.82	-	.79	2.19E-01
carbon catabolite repression of transcription from RNA polymerase II promoter by glucose (GO:0000433)	11	7	8.91	-	.79	3.34E-01
carbon catabolite regulation of transcription from RNA polymerase II promoter (GO:0000429)	33	21	26.73	-	.79	1.54E-01
autophagy of mitochondrion (GO:0000422)	33	21	26.73	-	.79	1.54E-01
regulation of mRNA processing (GO:0050684)	11	7	8.91	-	.79	3.34E-01
negative regulation of lipid biosynthetic process (GO:0051055)	11	7	8.91	-	.79	3.34E-01
regulation of MAPK cascade (GO:0043408)	22	14	17.82	-	.79	2.19E-01
regulation of receptor-mediated endocytosis (GO:0048259)	11	7	8.91	-	.79	3.34E-01
maintenance of location (GO:0051235)	52	33	42.13	-	.78	8.70E-02
establishment of protein localization to vacuole (GO:0072666)	101	64	81.82	-	.78	2.32E-02
Golgi to vacuole transport (GO:0006896)	30	19	24.30	-	.78	1.64E-01
positive regulation of protein polymerization (GO:0032273)	30	19	24.30	-	.78	1.64E-01
response to salt stress (GO:0009651)	19	12	15.39	-	.78	2.36E-01
attachment of spindle microtubules to kinetochore (GO:0008608)	27	17	21.87	-	.78	1.75E-01
protein localization to vacuole (GO:0072665)	108	68	87.49	-	.78	1.71E-02
proton transmembrane transport (GO:1902600)	89	56	72.10	-	.78	2.82E-02
DNA integrity checkpoint (GO:0031570)	43	27	34.84	-	.78	1.03E-01
regulation of actin filament-based process (GO:0032970)	59	37	47.80	-	.77	6.27E-02
regulation of actin cytoskeleton organization (GO:0032956)	59	37	47.80	-	.77	6.27E-02
Golgi to endosome transport (GO:0006895)	24	15	19.44	-	.77	1.87E-01
mitochondrial outer membrane translocase complex assembly (GO:0070096)	8	5	6.48	-	.77	3.72E-01
regulation of protein modification by small protein conjugation or removal (GO:1903320)	32	20	25.92	-	.77	1.41E-01
regulation of nuclear cell cycle DNA replication (GO:0033262)	8	5	6.48	-	.77	3.72E-01
heme transport (GO:0015886)	8	5	6.48	-	.77	3.72E-01
manganese ion transmembrane transport (GO:0071421)	8	5	6.48	-	.77	3.72E-01
respiratory electron transport chain (GO:0022904)	40	25	32.41	-	.77	1.08E-01
telomere capping (GO:0016233)	8	5	6.48	-	.77	3.72E-01
protein palmitoylation (GO:0018345)	8	5	6.48	-	.77	3.72E-01
regulation of mitotic cytokinesis (GO:1902412)	16	10	12.96	-	.77	2.55E-01
positive regulation of mitotic cell cycle phase transition (GO:1901992)	32	20	25.92	-	.77	1.41E-01
positive regulation of cell cycle phase transition (GO:1901989)	32	20	25.92	-	.77	1.41E-01
regulation of cytokinesis (GO:0032465)	24	15	19.44	-	.77	1.87E-01
endocytic recycling (GO:0032456)	8	5	6.48	-	.77	3.72E-01
negative regulation of cellular carbohydrate metabolic process (GO:0010677)	16	10	12.96	-	.77	2.55E-01
protein modification by small protein removal (GO:0070646)	32	20	25.92	-	.77	1.41E-01
positive regulation of phospholipid biosynthetic process (GO:0071073)	8	5	6.48	-	.77	3.72E-01
negative regulation of phospholipid biosynthetic process (GO:0071072)	8	5	6.48	-	.77	3.72E-01
acetate metabolic process (GO:0006083)	8	5	6.48	-	.77	3.72E-01
regulation of ubiquitin-protein transferase activity (GO:0051438)	8	5	6.48	-	.77	3.72E-01
neutral lipid catabolic process (GO:0046461)	8	5	6.48	-	.77	3.72E-01
kinetochore organization (GO:0051383)	8	5	6.48	-	.77	3.72E-01
negative regulation of carbohydrate metabolic process (GO:0045912)	16	10	12.96	-	.77	2.55E-01
regulation of organelle assembly (GO:1902115)	32	20	25.92	-	.77	1.41E-01
regulation of cell division (GO:0051302)	24	15	19.44	-	.77	1.87E-01
glycosyl compound catabolic process (GO:1901658)	8	5	6.48	-	.77	3.72E-01
macromolecule deacylation (GO:0098732)	24	15	19.44	-	.77	1.87E-01
positive regulation of DNA-dependent DNA replication (GO:2000105)	8	5	6.48	-	.77	3.72E-01
protein localization to vacuolar membrane (GO:1903778)	8	5	6.48	-	.77	3.72E-01
hexose mediated signaling (GO:0009757)	8	5	6.48	-	.77	3.72E-01
carbohydrate mediated signaling (GO:0009756)	8	5	6.48	-	.77	3.72E-01
positive regulation of phospholipid metabolic process (GO:1903727)	8	5	6.48	-	.77	3.72E-01
negative regulation of phospholipid metabolic process (GO:1903726)	8	5	6.48	-	.77	3.72E-01
regulation of vacuole organization (GO:0044088)	32	20	25.92	-	.77	1.41E-01
glucose mediated signaling pathway (GO:0010255)	8	5	6.48	-	.77	3.72E-01
regulation of translation in response to stress (GO:0043555)	8	5	6.48	-	.77	3.72E-01
peptidyl-serine dephosphorylation (GO:0070262)	8	5	6.48	-	.77	3.72E-01
sugar mediated signaling pathway (GO:0010182)	8	5	6.48	-	.77	3.72E-01
nucleotide-excision repair, DNA incision (GO:0033683)	8	5	6.48	-	.77	3.72E-01
positive regulation of receptor-mediated endocytosis (GO:0048260)	8	5	6.48	-	.77	3.72E-01
endosomal transport (GO:0016197)	101	63	81.82	-	.77	1.73E-02
protein targeting to vacuole (GO:0006623)	90	56	72.91	-	.77	2.27E-02
carbon catabolite regulation of transcription (GO:0045990)	37	23	29.97	-	.77	1.15E-01
positive regulation of mitotic cell cycle (GO:0045931)	37	23	29.97	-	.77	1.15E-01
autophagosome assembly (GO:0000045)	29	18	23.49	-	.77	1.50E-01
regulation of nuclear division (GO:0051783)	58	36	46.99	-	.77	5.74E-02
autophagosome organization (GO:1905037)	29	18	23.49	-	.77	1.50E-01
protein ubiquitination (GO:0016567)	100	62	81.01	-	.77	1.59E-02
positive regulation of organelle organization (GO:0010638)	100	62	81.01	-	.77	1.59E-02
mitochondrion inheritance (GO:0000001)	21	13	17.01	-	.76	1.99E-01
vesicle organization (GO:0016050)	84	52	68.05	-	.76	2.50E-02
intermembrane lipid transfer (GO:0120009)	21	13	17.01	-	.76	1.99E-01
secretion by cell (GO:0032940)	63	39	51.04	-	.76	4.75E-02
secretion (GO:0046903)	63	39	51.04	-	.76	4.75E-02
regulation of transcription by glucose (GO:0046015)	13	8	10.53	-	.76	2.76E-01
negative regulation of protein-containing complex assembly (GO:0031333)	13	8	10.53	-	.76	2.76E-01
Golgi vesicle budding (GO:0048194)	13	8	10.53	-	.76	2.76E-01
carbon catabolite repression (GO:0061985)	13	8	10.53	-	.76	2.76E-01
carbon catabolite repression of transcription (GO:0045013)	13	8	10.53	-	.76	2.76E-01
carbon catabolite activation of transcription (GO:0045991)	26	16	21.06	-	.76	1.59E-01
maintenance of cell polarity (GO:0030011)	13	8	10.53	-	.76	2.76E-01
