




Analysis Type:	PANTHER Overrepresentation Test (Released 20200728)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4081749 Released 2020-10-09
Analyzed List:	upload_1 (Neurospora crassa)
Reference List:	neurospora_background.txt (Neurospora crassa)
Test Type:	BINOMIAL
Correction:	NONE
GO biological process complete	neurospora_background.txt - REFLIST (9213)	upload_1 (169)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)
metal incorporation into metallo-molybdopterin complex (GO:0042040)	1	0	.02	-	 < 0.01	9.82E-01
3-keto-sphinganine metabolic process (GO:0006666)	1	0	.02	-	 < 0.01	9.82E-01
glycolipid metabolic process (GO:0006664)	36	0	.66	-	 < 0.01	5.16E-01
glycerol ether metabolic process (GO:0006662)	1	0	.02	-	 < 0.01	9.82E-01
phosphatidylinositol biosynthetic process (GO:0006661)	36	0	.66	-	 < 0.01	5.16E-01
phosphatidylserine catabolic process (GO:0006660)	1	0	.02	-	 < 0.01	9.82E-01
small-subunit processome assembly (GO:0034462)	1	0	.02	-	 < 0.01	9.82E-01
positive regulation of cell cycle process (GO:0090068)	19	0	.35	-	 < 0.01	7.05E-01
regulation of anatomical structure size (GO:0090066)	28	0	.51	-	 < 0.01	5.98E-01
regulation of tRNA export from nucleus (GO:2000238)	1	0	.02	-	 < 0.01	9.82E-01
CTP salvage (GO:0044211)	1	0	.02	-	 < 0.01	9.82E-01
'de novo' CTP biosynthetic process (GO:0044210)	1	0	.02	-	 < 0.01	9.82E-01
positive regulation of establishment of bipolar cell polarity (GO:0061173)	1	0	.02	-	 < 0.01	9.82E-01
regulation of tRNA processing (GO:2000235)	1	0	.02	-	 < 0.01	9.82E-01
regulation of establishment of bipolar cell polarity (GO:0061172)	1	0	.02	-	 < 0.01	9.82E-01
establishment of bipolar cell polarity (GO:0061171)	3	0	.06	-	 < 0.01	9.46E-01
peptidyl-histidine methylation, to form tele-methylhistidine (GO:0042038)	1	0	.02	-	 < 0.01	9.82E-01
regulation of rRNA processing (GO:2000232)	1	0	.02	-	 < 0.01	9.82E-01
phosphatidylserine biosynthetic process (GO:0006659)	1	0	.02	-	 < 0.01	9.82E-01
phosphatidylserine metabolic process (GO:0006658)	2	0	.04	-	 < 0.01	9.64E-01
CDP-choline pathway (GO:0006657)	1	0	.02	-	 < 0.01	9.82E-01
phosphatidylcholine biosynthetic process (GO:0006656)	6	0	.11	-	 < 0.01	8.96E-01
phosphatidylglycerol biosynthetic process (GO:0006655)	4	0	.07	-	 < 0.01	9.29E-01
phosphatidic acid biosynthetic process (GO:0006654)	9	0	.17	-	 < 0.01	8.48E-01
regulation of SNARE complex assembly (GO:0035542)	3	0	.06	-	 < 0.01	9.46E-01
microtubule anchoring (GO:0034453)	1	0	.02	-	 < 0.01	9.82E-01
AMP salvage (GO:0044209)	2	0	.04	-	 < 0.01	9.64E-01
'de novo' AMP biosynthetic process (GO:0044208)	2	0	.04	-	 < 0.01	9.64E-01
UMP salvage (GO:0044206)	1	0	.02	-	 < 0.01	9.82E-01
maintenance of endoplasmic reticulum location involved in endoplasmic reticulum polarization at cell division site (GO:0061167)	1	0	.02	-	 < 0.01	9.82E-01
regulation of silent mating-type cassette heterochromatin assembly (GO:0090054)	2	0	.04	-	 < 0.01	9.64E-01
establishment of endoplasmic reticulum localization involved in endoplasmic reticulum polarization at cell division site (GO:0061166)	1	0	.02	-	 < 0.01	9.82E-01
endoplasmic reticulum localization involved in endoplasmic reticulum polarization at cell division site (GO:0061165)	2	0	.04	-	 < 0.01	9.64E-01
transitional endoplasmic reticulum polarization at cell division site (GO:0061164)	2	0	.04	-	 < 0.01	9.64E-01
endoplasmic reticulum polarization (GO:0061163)	2	0	.04	-	 < 0.01	9.64E-01
positive regulation of protein polymerization (GO:0032273)	11	0	.20	-	 < 0.01	8.17E-01
positive regulation of establishment of bipolar cell polarity regulating cell shape (GO:0061161)	1	0	.02	-	 < 0.01	9.82E-01
negative regulation of protein polymerization (GO:0032272)	7	0	.13	-	 < 0.01	8.79E-01
regulation of establishment of bipolar cell polarity regulating cell shape (GO:0061160)	1	0	.02	-	 < 0.01	9.82E-01
replication fork arrest (GO:0043111)	3	0	.06	-	 < 0.01	9.46E-01
regulation of protein polymerization (GO:0032271)	26	0	.48	-	 < 0.01	6.20E-01
positive regulation of pseudohyphal growth (GO:2000222)	1	0	.02	-	 < 0.01	9.82E-01
positive regulation of cellular protein metabolic process (GO:0032270)	73	0	1.34	-	 < 0.01	2.61E-01
protein refolding (GO:0042026)	11	0	.20	-	 < 0.01	8.17E-01
regulation of pseudohyphal growth (GO:2000220)	1	0	.02	-	 < 0.01	9.82E-01
phosphatidylethanolamine biosynthetic process (GO:0006646)	5	0	.09	-	 < 0.01	9.12E-01
protein repair (GO:0030091)	1	0	.02	-	 < 0.01	9.82E-01
triglyceride mobilization (GO:0006642)	1	0	.02	-	 < 0.01	9.82E-01
triglyceride metabolic process (GO:0006641)	9	0	.17	-	 < 0.01	8.48E-01
lipid oxidation (GO:0034440)	17	0	.31	-	 < 0.01	7.32E-01
XMP salvage (GO:0032265)	1	0	.02	-	 < 0.01	9.82E-01
IMP salvage (GO:0032264)	2	0	.04	-	 < 0.01	9.64E-01
GMP salvage (GO:0032263)	1	0	.02	-	 < 0.01	9.82E-01
dynamin family protein polymerization involved in mitochondrial fission (GO:0003374)	8	0	.15	-	 < 0.01	8.63E-01
pyrimidine nucleotide salvage (GO:0032262)	1	0	.02	-	 < 0.01	9.82E-01
purine-containing compound salvage (GO:0043101)	6	0	.11	-	 < 0.01	8.96E-01
dynamin family protein polymerization involved in membrane fission (GO:0003373)	8	0	.15	-	 < 0.01	8.63E-01
purine nucleotide salvage (GO:0032261)	4	0	.07	-	 < 0.01	9.29E-01
acylglycerol metabolic process (GO:0006639)	10	0	.18	-	 < 0.01	8.32E-01
neutral lipid metabolic process (GO:0006638)	11	0	.20	-	 < 0.01	8.17E-01
unsaturated fatty acid biosynthetic process (GO:0006636)	1	0	.02	-	 < 0.01	9.82E-01
fatty acid beta-oxidation (GO:0006635)	16	0	.29	-	 < 0.01	7.45E-01
maintenance of transcriptional fidelity during DNA-templated transcription elongation from RNA polymerase II promoter (GO:0001193)	1	0	.02	-	 < 0.01	9.82E-01
maintenance of transcriptional fidelity during DNA-templated transcription elongation (GO:0001192)	1	0	.02	-	 < 0.01	9.82E-01
negative regulation of transcription by pheromones (GO:0045996)	3	0	.06	-	 < 0.01	9.46E-01
tRNA acetylation (GO:0051391)	1	0	.02	-	 < 0.01	9.82E-01
carbon catabolite activation of transcription (GO:0045991)	5	0	.09	-	 < 0.01	9.12E-01
carbon catabolite regulation of transcription (GO:0045990)	8	0	.15	-	 < 0.01	8.63E-01
positive regulation of filamentous growth (GO:0090033)	1	0	.02	-	 < 0.01	9.82E-01
ferrichrome biosynthetic process (GO:0031169)	1	0	.02	-	 < 0.01	9.82E-01
ferrichrome metabolic process (GO:0031168)	1	0	.02	-	 < 0.01	9.82E-01
regulation of ribosomal large subunit export from nucleus (GO:2000203)	1	0	.02	-	 < 0.01	9.82E-01
regulation of ribosomal subunit export from nucleus (GO:2000200)	1	0	.02	-	 < 0.01	9.82E-01
metallo-sulfur cluster assembly (GO:0031163)	19	0	.35	-	 < 0.01	7.05E-01
RNA polymerase I preinitiation complex assembly (GO:0001188)	2	0	.04	-	 < 0.01	9.64E-01
protein processing involved in protein targeting to mitochondrion (GO:0006627)	3	0	.06	-	 < 0.01	9.46E-01
protein targeting to mitochondrion (GO:0006626)	33	0	.61	-	 < 0.01	5.45E-01
protein targeting to peroxisome (GO:0006625)	15	0	.28	-	 < 0.01	7.59E-01
regulation of mitotic metaphase/anaphase transition (GO:0030071)	24	0	.44	-	 < 0.01	6.44E-01
nuclear-transcribed mRNA catabolic process, exonucleolytic, 5'-3' (GO:0034428)	1	0	.02	-	 < 0.01	9.82E-01
vacuolar protein processing (GO:0006624)	2	0	.04	-	 < 0.01	9.64E-01
nuclear-transcribed mRNA catabolic process, exonucleolytic, 3'-5' (GO:0034427)	10	0	.18	-	 < 0.01	8.32E-01
protein targeting to vacuole (GO:0006623)	18	0	.33	-	 < 0.01	7.19E-01
sulfur amino acid catabolic process (GO:0000098)	3	0	.06	-	 < 0.01	9.46E-01
protein retention in ER lumen (GO:0006621)	5	0	.09	-	 < 0.01	9.12E-01
posttranslational protein targeting to endoplasmic reticulum membrane (GO:0006620)	10	0	.18	-	 < 0.01	8.32E-01
kinetochore organization (GO:0051383)	9	0	.17	-	 < 0.01	8.48E-01
negative regulation of pyrimidine nucleobase metabolic process (GO:0045984)	1	0	.02	-	 < 0.01	9.82E-01
kinetochore assembly (GO:0051382)	8	0	.15	-	 < 0.01	8.63E-01
regulation of proteasomal protein catabolic process (GO:0061136)	15	0	.28	-	 < 0.01	7.59E-01
positive regulation of nucleotide metabolic process (GO:0045981)	1	0	.02	-	 < 0.01	9.82E-01
negative regulation of nucleotide metabolic process (GO:0045980)	1	0	.02	-	 < 0.01	9.82E-01
protein localization to microtubule cytoskeleton (GO:0072698)	3	0	.06	-	 < 0.01	9.46E-01
regulation of protein glycosylation (GO:0060049)	1	0	.02	-	 < 0.01	9.82E-01
protein localization to cell cortex (GO:0072697)	1	0	.02	-	 < 0.01	9.82E-01
lipid droplet disassembly (GO:1905691)	1	0	.02	-	 < 0.01	9.82E-01
positive regulation of nucleobase-containing compound transport (GO:0032241)	2	0	.04	-	 < 0.01	9.64E-01
SRP-dependent cotranslational protein targeting to membrane, signal sequence recognition (GO:0006617)	1	0	.02	-	 < 0.01	9.82E-01
SRP-dependent cotranslational protein targeting to membrane, translocation (GO:0006616)	4	0	.07	-	 < 0.01	9.29E-01
SRP-dependent cotranslational protein targeting to membrane (GO:0006614)	12	0	.22	-	 < 0.01	8.02E-01
transcription, RNA-templated (GO:0001172)	5	0	.09	-	 < 0.01	9.12E-01
cotranslational protein targeting to membrane (GO:0006613)	12	0	.22	-	 < 0.01	8.02E-01
protein targeting to membrane (GO:0006612)	33	0	.61	-	 < 0.01	5.45E-01
G2/M transition of mitotic cell cycle (GO:0000086)	3	0	.06	-	 < 0.01	9.46E-01
tRNA 3'-trailer cleavage, endonucleolytic (GO:0034414)	2	0	.04	-	 < 0.01	9.64E-01
regulation of transcription involved in G1/S transition of mitotic cell cycle (GO:0000083)	6	0	.11	-	 < 0.01	8.96E-01
cell wall (1->3)-beta-D-glucan biosynthetic process (GO:0034411)	5	0	.09	-	 < 0.01	9.12E-01
G1/S transition of mitotic cell cycle (GO:0000082)	9	0	.17	-	 < 0.01	8.48E-01
cell wall beta-glucan biosynthetic process (GO:0034410)	6	0	.11	-	 < 0.01	8.96E-01
regulation of nucleobase-containing compound transport (GO:0032239)	4	0	.07	-	 < 0.01	9.29E-01
positive regulation of actin filament bundle assembly (GO:0032233)	1	0	.02	-	 < 0.01	9.82E-01
regulation of actin filament bundle assembly (GO:0032231)	1	0	.02	-	 < 0.01	9.82E-01
mitochondrial tRNA 3'-trailer cleavage, endonucleolytic (GO:0072684)	2	0	.04	-	 < 0.01	9.64E-01
anaphase-promoting complex-dependent catabolic process (GO:0031145)	14	0	.26	-	 < 0.01	7.73E-01
electron transport coupled proton transport (GO:0015990)	1	0	.02	-	 < 0.01	9.82E-01
proteasome localization (GO:0031144)	1	0	.02	-	 < 0.01	9.82E-01
ubiquitin-dependent protein catabolic process via the N-end rule pathway (GO:0071596)	2	0	.04	-	 < 0.01	9.64E-01
immune effector process (GO:0002252)	2	0	.04	-	 < 0.01	9.64E-01
nicotinic acid riboside biosynthetic process (GO:0071592)	1	0	.02	-	 < 0.01	9.82E-01
NLS-bearing protein import into nucleus (GO:0006607)	4	0	.07	-	 < 0.01	9.29E-01
nicotinic acid riboside metabolic process (GO:0071591)	1	0	.02	-	 < 0.01	9.82E-01
nicotinamide riboside biosynthetic process (GO:0071590)	1	0	.02	-	 < 0.01	9.82E-01
protein targeting (GO:0006605)	102	0	1.87	-	 < 0.01	1.52E-01
regulation of cyclin-dependent protein serine/threonine kinase activity (GO:0000079)	17	0	.31	-	 < 0.01	7.32E-01
cell wall (1->3)-beta-D-glucan metabolic process (GO:0034407)	5	0	.09	-	 < 0.01	9.12E-01
vesicle transport along actin filament (GO:0030050)	2	0	.04	-	 < 0.01	9.64E-01
cell wall beta-glucan metabolic process (GO:0034406)	6	0	.11	-	 < 0.01	8.96E-01
DNA damage checkpoint (GO:0000077)	21	0	.39	-	 < 0.01	6.80E-01
DNA replication checkpoint (GO:0000076)	13	0	.24	-	 < 0.01	7.88E-01
creatine biosynthetic process (GO:0006601)	1	0	.02	-	 < 0.01	9.82E-01
cell cycle checkpoint (GO:0000075)	43	0	.79	-	 < 0.01	4.54E-01
creatine metabolic process (GO:0006600)	1	0	.02	-	 < 0.01	9.82E-01
recruitment of 3'-end processing factors to RNA polymerase II holoenzyme complex (GO:0034402)	1	0	.02	-	 < 0.01	9.82E-01
chromatin organization involved in regulation of transcription (GO:0034401)	32	0	.59	-	 < 0.01	5.55E-01
meiotic spindle assembly checkpoint (GO:0033316)	1	0	.02	-	 < 0.01	9.82E-01
mitotic DNA replication checkpoint (GO:0033314)	10	0	.18	-	 < 0.01	8.32E-01
meiotic cell cycle checkpoint (GO:0033313)	3	0	.06	-	 < 0.01	9.46E-01
mitotic cytokinesis checkpoint (GO:0044878)	1	0	.02	-	 < 0.01	9.82E-01
energy coupled proton transmembrane transport, against electrochemical gradient (GO:0015988)	1	0	.02	-	 < 0.01	9.82E-01
ATP synthesis coupled proton transport (GO:0015986)	18	0	.33	-	 < 0.01	7.19E-01
energy coupled proton transport, down electrochemical gradient (GO:0015985)	18	0	.33	-	 < 0.01	7.19E-01
positive regulation of conjugation with cellular fusion (GO:0031139)	7	0	.13	-	 < 0.01	8.79E-01
negative regulation of conjugation with cellular fusion (GO:0031138)	2	0	.04	-	 < 0.01	9.64E-01
regulation of conjugation with cellular fusion (GO:0031137)	9	0	.17	-	 < 0.01	8.48E-01
positive regulation of conjugation (GO:0031136)	7	0	.13	-	 < 0.01	8.79E-01
pyridine nucleoside biosynthetic process (GO:0071589)	1	0	.02	-	 < 0.01	9.82E-01
plasma membrane fusion involved in cytogamy (GO:0032220)	3	0	.06	-	 < 0.01	9.46E-01
negative regulation of conjugation (GO:0031135)	2	0	.04	-	 < 0.01	9.64E-01
mitochondria-associated ubiquitin-dependent protein catabolic process (GO:0072671)	2	0	.04	-	 < 0.01	9.64E-01
sister chromatid biorientation (GO:0031134)	2	0	.04	-	 < 0.01	9.64E-01
mitochondrial tRNA threonylcarbamoyladenosine modification (GO:0072670)	1	0	.02	-	 < 0.01	9.82E-01
CAAX-box protein processing (GO:0071586)	2	0	.04	-	 < 0.01	9.64E-01
actin filament-based movement (GO:0030048)	2	0	.04	-	 < 0.01	9.64E-01
parallel actin filament bundle assembly (GO:0030046)	1	0	.02	-	 < 0.01	9.82E-01
actin filament depolymerization (GO:0030042)	2	0	.04	-	 < 0.01	9.64E-01
actin filament polymerization (GO:0030041)	2	0	.04	-	 < 0.01	9.64E-01
positive regulation of mitotic cytokinesis (GO:1903490)	1	0	.02	-	 < 0.01	9.82E-01
positive regulation of oxidoreductase activity (GO:0051353)	2	0	.04	-	 < 0.01	9.64E-01
positive regulation of ligase activity (GO:0051351)	1	0	.02	-	 < 0.01	9.82E-01
positive regulation of mitotic recombination (GO:0045951)	1	0	.02	-	 < 0.01	9.82E-01
positive regulation of calcium ion import across plasma membrane (GO:1905665)	1	0	.02	-	 < 0.01	9.82E-01
carbon utilization (GO:0015976)	2	0	.04	-	 < 0.01	9.64E-01
regulation of calcium ion import across plasma membrane (GO:1905664)	1	0	.02	-	 < 0.01	9.82E-01
establishment of protein localization to vacuole (GO:0072666)	26	0	.48	-	 < 0.01	6.20E-01
protein localization to vacuole (GO:0072665)	27	0	.50	-	 < 0.01	6.09E-01
positive regulation of telomere maintenance via telomerase (GO:0032212)	1	0	.02	-	 < 0.01	9.82E-01
establishment of protein localization to peroxisome (GO:0072663)	15	0	.28	-	 < 0.01	7.59E-01
snoRNA 3'-end processing (GO:0031126)	11	0	.20	-	 < 0.01	8.17E-01
regulation of telomere maintenance via telomerase (GO:0032210)	2	0	.04	-	 < 0.01	9.64E-01
protein localization to peroxisome (GO:0072662)	15	0	.28	-	 < 0.01	7.59E-01
rRNA 3'-end processing (GO:0031125)	8	0	.15	-	 < 0.01	8.63E-01
zinc ion import across plasma membrane (GO:0071578)	1	0	.02	-	 < 0.01	9.82E-01
zinc ion transmembrane transport (GO:0071577)	9	0	.17	-	 < 0.01	8.48E-01
mRNA 3'-end processing (GO:0031124)	16	0	.29	-	 < 0.01	7.45E-01
cytoplasmic microtubule organization (GO:0031122)	14	0	.26	-	 < 0.01	7.73E-01
protein localization to medial cortex (GO:0071574)	1	0	.02	-	 < 0.01	9.82E-01
actin cytoskeleton organization (GO:0030036)	55	0	1.01	-	 < 0.01	3.64E-01
snRNA pseudouridine synthesis (GO:0031120)	3	0	.06	-	 < 0.01	9.46E-01
histone H3-K56 deacetylation (GO:0071572)	2	0	.04	-	 < 0.01	9.64E-01
cell projection assembly (GO:0030031)	1	0	.02	-	 < 0.01	9.82E-01
cell projection organization (GO:0030030)	1	0	.02	-	 < 0.01	9.82E-01
response to oxygen levels (GO:0070482)	2	0	.04	-	 < 0.01	9.64E-01
positive regulation of exodeoxyribonuclease activity (GO:1902394)	1	0	.02	-	 < 0.01	9.82E-01
ribosomal small subunit export from nucleus (GO:0000056)	7	0	.13	-	 < 0.01	8.79E-01
nuclear-transcribed mRNA catabolic process, non-stop decay (GO:0070481)	1	0	.02	-	 < 0.01	9.82E-01
negative regulation of transferase activity (GO:0051348)	10	0	.18	-	 < 0.01	8.32E-01
regulation of exodeoxyribonuclease activity (GO:1902392)	1	0	.02	-	 < 0.01	9.82E-01
positive regulation of transferase activity (GO:0051347)	26	0	.48	-	 < 0.01	6.20E-01
positive regulation of N-terminal peptidyl-serine acetylation (GO:1902391)	1	0	.02	-	 < 0.01	9.82E-01
positive regulation of translational initiation (GO:0045948)	4	0	.07	-	 < 0.01	9.29E-01
argininosuccinate metabolic process (GO:0000053)	1	0	.02	-	 < 0.01	9.82E-01
regulation of N-terminal peptidyl-serine acetylation (GO:1902390)	1	0	.02	-	 < 0.01	9.82E-01
positive regulation of hydrolase activity (GO:0051345)	54	0	.99	-	 < 0.01	3.70E-01
citrulline metabolic process (GO:0000052)	3	0	.06	-	 < 0.01	9.46E-01
positive regulation of transcription by RNA polymerase III (GO:0045945)	1	0	.02	-	 < 0.01	9.82E-01
positive regulation of transcription by RNA polymerase II (GO:0045944)	100	0	1.83	-	 < 0.01	1.58E-01
urea cycle (GO:0000050)	2	0	.04	-	 < 0.01	9.64E-01
positive regulation of transcription by RNA polymerase I (GO:0045943)	5	0	.09	-	 < 0.01	9.12E-01
regulation of ligase activity (GO:0051340)	1	0	.02	-	 < 0.01	9.82E-01
protein localization to plasma membrane (GO:0072659)	13	0	.24	-	 < 0.01	7.88E-01
positive regulation of telomere maintenance (GO:0032206)	1	0	.02	-	 < 0.01	9.82E-01
protein localization to membrane (GO:0072657)	71	0	1.30	-	 < 0.01	2.71E-01
regulation of telomere maintenance (GO:0032204)	2	0	.04	-	 < 0.01	9.64E-01
tRNA pseudouridine synthesis (GO:0031119)	2	0	.04	-	 < 0.01	9.64E-01
establishment of protein localization to mitochondrion (GO:0072655)	40	0	.73	-	 < 0.01	4.79E-01
rRNA pseudouridine synthesis (GO:0031118)	8	0	.15	-	 < 0.01	8.63E-01
maintenance of translational fidelity (GO:1990145)	1	0	.02	-	 < 0.01	9.82E-01
positive regulation of microtubule polymerization (GO:0031116)	4	0	.07	-	 < 0.01	9.29E-01
diadenosine polyphosphate catabolic process (GO:0015961)	1	0	.02	-	 < 0.01	9.82E-01
mitotic actomyosin contractile ring assembly actin filament organization (GO:1903479)	3	0	.06	-	 < 0.01	9.46E-01
regulation of microtubule polymerization (GO:0031113)	4	0	.07	-	 < 0.01	9.29E-01
actin filament-based process (GO:0030029)	56	0	1.03	-	 < 0.01	3.57E-01
actin filament bundle convergence involved in mitotic contractile ring assembly (GO:1903478)	1	0	.02	-	 < 0.01	9.82E-01
positive regulation of microtubule polymerization or depolymerization (GO:0031112)	4	0	.07	-	 < 0.01	9.29E-01
protein localization to cell division site involved in mitotic actomyosin contractile ring assembly (GO:1903476)	2	0	.04	-	 < 0.01	9.64E-01
regulation of microtubule polymerization or depolymerization (GO:0031110)	6	0	.11	-	 < 0.01	8.96E-01
mitotic actomyosin contractile ring assembly (GO:1903475)	7	0	.13	-	 < 0.01	8.79E-01
cellular manganese ion homeostasis (GO:0030026)	5	0	.09	-	 < 0.01	9.12E-01
nucleus-vacuole junction assembly (GO:0071562)	1	0	.02	-	 < 0.01	9.82E-01
nuclear-transcribed mRNA catabolic process, 3'-5' exonucleolytic nonsense-mediated decay (GO:0070478)	1	0	.02	-	 < 0.01	9.82E-01
positive regulation of mitotic actomyosin contractile ring contraction (GO:1903473)	1	0	.02	-	 < 0.01	9.82E-01
ceramide 1-phosphate transport (GO:1902389)	1	0	.02	-	 < 0.01	9.82E-01
rRNA (guanine-N7)-methylation (GO:0070476)	2	0	.04	-	 < 0.01	9.64E-01
rRNA base methylation (GO:0070475)	7	0	.13	-	 < 0.01	8.79E-01
regulation of mitotic actomyosin contractile ring contraction (GO:1903471)	1	0	.02	-	 < 0.01	9.82E-01
regulation of lyase activity (GO:0051339)	1	0	.02	-	 < 0.01	9.82E-01
regulation of transferase activity (GO:0051338)	53	0	.97	-	 < 0.01	3.77E-01
positive regulation of phosphate metabolic process (GO:0045937)	27	0	.50	-	 < 0.01	6.09E-01
negative regulation of phosphate metabolic process (GO:0045936)	18	0	.33	-	 < 0.01	7.19E-01
positive regulation of nucleobase-containing compound metabolic process (GO:0045935)	143	0	2.62	-	 < 0.01	7.11E-02
negative regulation of nucleobase-containing compound metabolic process (GO:0045934)	89	0	1.63	-	 < 0.01	1.94E-01
positive regulation of mitotic cell cycle (GO:0045931)	13	0	.24	-	 < 0.01	7.88E-01
diadenosine polyphosphate metabolic process (GO:0015959)	1	0	.02	-	 < 0.01	9.82E-01
negative regulation of mitotic cell cycle (GO:0045930)	40	0	.73	-	 < 0.01	4.79E-01
cell cycle G1/S phase transition (GO:0044843)	9	0	.17	-	 < 0.01	8.48E-01
microtubule polymerization or depolymerization (GO:0031109)	9	0	.17	-	 < 0.01	8.48E-01
septin ring disassembly (GO:0031107)	1	0	.02	-	 < 0.01	9.82E-01
septin ring organization (GO:0031106)	3	0	.06	-	 < 0.01	9.46E-01
removal of RNA primer involved in mitotic DNA replication (GO:1903469)	1	0	.02	-	 < 0.01	9.82E-01
histone H3-K27 demethylation (GO:0071557)	2	0	.04	-	 < 0.01	9.64E-01
negative regulation of mitotic cell cycle DNA replication (GO:1903464)	1	0	.02	-	 < 0.01	9.82E-01
regulation of mitotic cell cycle DNA replication (GO:1903463)	1	0	.02	-	 < 0.01	9.82E-01
Okazaki fragment processing involved in mitotic DNA replication (GO:1903461)	2	0	.04	-	 < 0.01	9.64E-01
mitotic DNA replication leading strand elongation (GO:1903460)	1	0	.02	-	 < 0.01	9.82E-01
maintenance of cell polarity (GO:0030011)	3	0	.06	-	 < 0.01	9.46E-01
establishment of cell polarity (GO:0030010)	16	0	.29	-	 < 0.01	7.45E-01
protein-DNA complex remodeling (GO:0001120)	1	0	.02	-	 < 0.01	9.82E-01
negative regulation of mRNA catabolic process (GO:1902373)	3	0	.06	-	 < 0.01	9.46E-01
positive regulation of growth (GO:0045927)	3	0	.06	-	 < 0.01	9.46E-01
cell cycle G2/M phase transition (GO:0044839)	3	0	.06	-	 < 0.01	9.46E-01
positive regulation of fatty acid metabolic process (GO:0045923)	1	0	.02	-	 < 0.01	9.82E-01
meiotic cell cycle (GO:0051321)	63	0	1.16	-	 < 0.01	3.14E-01
positive regulation of exocytosis (GO:0045921)	1	0	.02	-	 < 0.01	9.82E-01
actomyosin contractile ring organization (GO:0044837)	9	0	.17	-	 < 0.01	8.48E-01
regulation of protein localization to chromatin (GO:1905634)	4	0	.07	-	 < 0.01	9.29E-01
