




Analysis Type:	PANTHER Overrepresentation Test (Released 20200728)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4081749 Released 2020-10-09
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	human_background.txt (Homo sapiens)
Test Type:	BINOMIAL
Correction:	NONE
GO biological process complete	human_background.txt - REFLIST (16250)	upload_1 (830)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)
negative regulation of peptidyl-tyrosine autophosphorylation (GO:1900085)	1	0	.05	-	 < 0.01	9.50E-01
regulation of peptidyl-tyrosine autophosphorylation (GO:1900084)	6	0	.31	-	 < 0.01	7.36E-01
negative regulation of arginine catabolic process (GO:1900082)	1	0	.05	-	 < 0.01	9.50E-01
negative regulation of tyrosine phosphorylation of STAT protein (GO:0042532)	12	0	.61	-	 < 0.01	5.42E-01
L-ornithine import across plasma membrane (GO:0097640)	1	0	.05	-	 < 0.01	9.50E-01
regulation of arginine catabolic process (GO:1900081)	1	0	.05	-	 < 0.01	9.50E-01
positive regulation of tyrosine phosphorylation of STAT protein (GO:0042531)	65	0	3.32	-	 < 0.01	3.59E-02
negative regulation of low-density lipoprotein particle clearance (GO:0010989)	7	0	.36	-	 < 0.01	6.99E-01
negative regulation of iron ion import across plasma membrane (GO:1904439)	1	0	.05	-	 < 0.01	9.50E-01
regulation of low-density lipoprotein particle clearance (GO:0010988)	13	0	.66	-	 < 0.01	5.15E-01
regulation of iron ion import across plasma membrane (GO:1904438)	3	0	.15	-	 < 0.01	8.58E-01
positive regulation of transferrin receptor binding (GO:1904437)	2	0	.10	-	 < 0.01	9.03E-01
negative regulation of high-density lipoprotein particle clearance (GO:0010987)	1	0	.05	-	 < 0.01	9.50E-01
positive regulation of lipoprotein particle clearance (GO:0010986)	5	0	.26	-	 < 0.01	7.75E-01
negative regulation of lipoprotein particle clearance (GO:0010985)	10	0	.51	-	 < 0.01	6.00E-01
regulation of transferrin receptor binding (GO:1904435)	2	0	.10	-	 < 0.01	9.03E-01
regulation of lipoprotein particle clearance (GO:0010984)	19	0	.97	-	 < 0.01	3.79E-01
positive regulation of ferrous iron binding (GO:1904434)	2	0	.10	-	 < 0.01	9.03E-01
double-stranded RNA biosynthetic process (GO:0062103)	1	0	.05	-	 < 0.01	9.50E-01
positive regulation of high-density lipoprotein particle clearance (GO:0010983)	2	0	.10	-	 < 0.01	9.03E-01
regulation of high-density lipoprotein particle clearance (GO:0010982)	3	0	.15	-	 < 0.01	8.58E-01
regulation of ferrous iron binding (GO:1904432)	2	0	.10	-	 < 0.01	9.03E-01
positive regulation of t-circle formation (GO:1904431)	1	0	.05	-	 < 0.01	9.50E-01
L-lysine import across plasma membrane (GO:0097639)	1	0	.05	-	 < 0.01	9.50E-01
L-arginine import across plasma membrane (GO:0097638)	5	0	.26	-	 < 0.01	7.75E-01
regulation of arginine biosynthetic process (GO:1900079)	1	0	.05	-	 < 0.01	9.50E-01
negative regulation of tubulin deacetylation (GO:1904428)	6	0	.31	-	 < 0.01	7.36E-01
positive regulation of GTP binding (GO:1904426)	2	0	.10	-	 < 0.01	9.03E-01
negative regulation of GTP binding (GO:1904425)	3	0	.15	-	 < 0.01	8.58E-01
regulation of GTP binding (GO:1904424)	14	0	.72	-	 < 0.01	4.89E-01
regulation of cellular hyperosmotic salinity response (GO:1900069)	3	0	.15	-	 < 0.01	8.58E-01
potassium ion export across plasma membrane (GO:0097623)	11	0	.56	-	 < 0.01	5.70E-01
regulation of peroxisome organization (GO:1900063)	4	0	.20	-	 < 0.01	8.15E-01
negative regulation of ceramide biosynthetic process (GO:1900060)	5	0	.26	-	 < 0.01	7.75E-01
positive regulation of cardiac ventricle development (GO:1904414)	1	0	.05	-	 < 0.01	9.50E-01
O-glycan processing, core 3 (GO:0016269)	1	0	.05	-	 < 0.01	9.50E-01
regulation of L-arginine import (GO:0010963)	2	0	.10	-	 < 0.01	9.03E-01
regulation of cardiac ventricle development (GO:1904412)	1	0	.05	-	 < 0.01	9.50E-01
O-glycan processing, core 1 (GO:0016267)	2	0	.10	-	 < 0.01	9.03E-01
pyrimidine-containing compound salvage (GO:0008655)	10	0	.51	-	 < 0.01	6.00E-01
lipopolysaccharide metabolic process (GO:0008653)	1	0	.05	-	 < 0.01	9.50E-01
selenocysteine catabolic process (GO:0016261)	1	0	.05	-	 < 0.01	9.50E-01
positive regulation of retinoic acid biosynthetic process (GO:1900054)	1	0	.05	-	 < 0.01	9.50E-01
selenocysteine biosynthetic process (GO:0016260)	2	0	.10	-	 < 0.01	9.03E-01
negative regulation of retinoic acid biosynthetic process (GO:1900053)	1	0	.05	-	 < 0.01	9.50E-01
regulation of retinoic acid biosynthetic process (GO:1900052)	2	0	.10	-	 < 0.01	9.03E-01
embryonic genitalia morphogenesis (GO:0030538)	2	0	.10	-	 < 0.01	9.03E-01
negative regulation of vitamin D biosynthetic process (GO:0010957)	5	0	.26	-	 < 0.01	7.75E-01
negative regulation of nitric oxide metabolic process (GO:1904406)	13	0	.66	-	 < 0.01	5.15E-01
negative regulation of calcidiol 1-monooxygenase activity (GO:0010956)	3	0	.15	-	 < 0.01	8.58E-01
selenocysteine metabolic process (GO:0016259)	5	0	.26	-	 < 0.01	7.75E-01
response to Thyroid stimulating hormone (GO:1904400)	1	0	.05	-	 < 0.01	9.50E-01
N-glycan processing to lysosome (GO:0016256)	1	0	.05	-	 < 0.01	9.50E-01
attachment of GPI anchor to protein (GO:0016255)	6	0	.31	-	 < 0.01	7.36E-01
negative regulation of intestinal phytosterol absorption (GO:0010949)	2	0	.10	-	 < 0.01	9.03E-01
peptidyl-lysine deglutarylation (GO:0061699)	2	0	.10	-	 < 0.01	9.03E-01
protein deglutarylation (GO:0061698)	2	0	.10	-	 < 0.01	9.03E-01
positive regulation of cellular response to hypoxia (GO:1900039)	1	0	.05	-	 < 0.01	9.50E-01
negative regulation of cellular response to hypoxia (GO:1900038)	7	0	.36	-	 < 0.01	6.99E-01
activation of cysteine-type endopeptidase activity involved in apoptotic process by cytochrome c (GO:0008635)	7	0	.36	-	 < 0.01	6.99E-01
regulation of cellular response to hypoxia (GO:1900037)	12	0	.61	-	 < 0.01	5.42E-01
regulation of autophagosome size (GO:0016243)	1	0	.05	-	 < 0.01	9.50E-01
positive regulation of cellular response to heat (GO:1900036)	1	0	.05	-	 < 0.01	9.50E-01
negative regulation of cellular response to heat (GO:1900035)	1	0	.05	-	 < 0.01	9.50E-01
autophagosome membrane docking (GO:0016240)	3	0	.15	-	 < 0.01	8.58E-01
cytoplasmic microtubule depolymerization (GO:0010938)	1	0	.05	-	 < 0.01	9.50E-01
negative regulation of macrophage cytokine production (GO:0010936)	5	0	.26	-	 < 0.01	7.75E-01
regulation of macrophage cytokine production (GO:0010935)	15	0	.77	-	 < 0.01	4.65E-01
macrophage cytokine production (GO:0010934)	2	0	.10	-	 < 0.01	9.03E-01
positive regulation of macrophage tolerance induction (GO:0010933)	1	0	.05	-	 < 0.01	9.50E-01
regulation of macrophage tolerance induction (GO:0010932)	1	0	.05	-	 < 0.01	9.50E-01
hormone-mediated apoptotic signaling pathway (GO:0008628)	4	0	.20	-	 < 0.01	8.15E-01
detoxification of inorganic compound (GO:0061687)	15	0	.77	-	 < 0.01	4.65E-01
intrinsic apoptotic signaling pathway in response to osmotic stress (GO:0008627)	2	0	.10	-	 < 0.01	9.03E-01
positive regulation of ruffle assembly (GO:1900029)	14	0	.72	-	 < 0.01	4.89E-01
granzyme-mediated apoptotic signaling pathway (GO:0008626)	1	0	.05	-	 < 0.01	9.50E-01
negative regulation of ruffle assembly (GO:1900028)	6	0	.31	-	 < 0.01	7.36E-01
regulation of ruffle assembly (GO:1900027)	27	0	1.38	-	 < 0.01	2.52E-01
seminal vesicle morphogenesis (GO:0061682)	1	0	.05	-	 < 0.01	9.50E-01
regulation of D-erythro-sphingosine kinase activity (GO:1900022)	1	0	.05	-	 < 0.01	9.50E-01
positive regulation of protein kinase C activity (GO:1900020)	7	0	.36	-	 < 0.01	6.99E-01
inorganic diphosphate transport (GO:0030505)	2	0	.10	-	 < 0.01	9.03E-01
negative regulation of bone mineralization (GO:0030502)	17	0	.87	-	 < 0.01	4.19E-01
positive regulation of inositol-polyphosphate 5-phosphatase activity (GO:0010925)	1	0	.05	-	 < 0.01	9.50E-01
regulation of inositol-polyphosphate 5-phosphatase activity (GO:0010924)	1	0	.05	-	 < 0.01	9.50E-01
iron-sulfur cluster assembly (GO:0016226)	21	0	1.07	-	 < 0.01	3.42E-01
regulation of protein kinase C activity (GO:1900019)	7	0	.36	-	 < 0.01	6.99E-01
negative regulation of inositol phosphate biosynthetic process (GO:0010920)	1	0	.05	-	 < 0.01	9.50E-01
guanosine metabolic process (GO:0008617)	1	0	.05	-	 < 0.01	9.50E-01
positive regulation of cytokine production involved in inflammatory response (GO:1900017)	22	0	1.12	-	 < 0.01	3.25E-01
negative regulation of cytokine production involved in inflammatory response (GO:1900016)	20	0	1.02	-	 < 0.01	3.60E-01
peptidyl-lysine modification to peptidyl-hypusine (GO:0008612)	3	0	.15	-	 < 0.01	8.58E-01
negative regulation of corticotropin-releasing hormone receptor activity (GO:1900011)	1	0	.05	-	 < 0.01	9.50E-01
regulation of corticotropin-releasing hormone receptor activity (GO:1900010)	1	0	.05	-	 < 0.01	9.50E-01
regulation of inositol phosphate biosynthetic process (GO:0010919)	16	0	.82	-	 < 0.01	4.41E-01
positive regulation of mitochondrial membrane potential (GO:0010918)	11	0	.56	-	 < 0.01	5.70E-01
negative regulation of mitochondrial membrane potential (GO:0010917)	12	0	.61	-	 < 0.01	5.42E-01
negative regulation of very-low-density lipoprotein particle clearance (GO:0010916)	4	0	.20	-	 < 0.01	8.15E-01
regulation of very-low-density lipoprotein particle clearance (GO:0010915)	4	0	.20	-	 < 0.01	8.15E-01
spontaneous neurotransmitter secretion (GO:0061669)	6	0	.31	-	 < 0.01	7.36E-01
mitochondrial ribosome assembly (GO:0061668)	6	0	.31	-	 < 0.01	7.36E-01
negative regulation of eating behavior (GO:1903999)	3	0	.15	-	 < 0.01	8.58E-01
regulation of eating behavior (GO:1903998)	7	0	.36	-	 < 0.01	6.99E-01
positive regulation of non-membrane spanning protein tyrosine kinase activity (GO:1903997)	7	0	.36	-	 < 0.01	6.99E-01
negative regulation of non-membrane spanning protein tyrosine kinase activity (GO:1903996)	1	0	.05	-	 < 0.01	9.50E-01
positive regulation of dendrite development (GO:1900006)	15	0	.77	-	 < 0.01	4.65E-01
regulation of non-membrane spanning protein tyrosine kinase activity (GO:1903995)	8	0	.41	-	 < 0.01	6.65E-01
positive regulation of serine-type endopeptidase activity (GO:1900005)	2	0	.10	-	 < 0.01	9.03E-01
negative regulation of serine-type endopeptidase activity (GO:1900004)	5	0	.26	-	 < 0.01	7.75E-01
regulation of serine-type endopeptidase activity (GO:1900003)	6	0	.31	-	 < 0.01	7.36E-01
positive regulation of heparan sulfate proteoglycan biosynthetic process (GO:0010909)	3	0	.15	-	 < 0.01	8.58E-01
regulation of heparan sulfate proteoglycan biosynthetic process (GO:0010908)	3	0	.15	-	 < 0.01	8.58E-01
negative regulation of UDP-glucose catabolic process (GO:0010905)	1	0	.05	-	 < 0.01	9.50E-01
regulation of UDP-glucose catabolic process (GO:0010904)	1	0	.05	-	 < 0.01	9.50E-01
negative regulation of very-low-density lipoprotein particle remodeling (GO:0010903)	4	0	.20	-	 < 0.01	8.15E-01
positive regulation of very-low-density lipoprotein particle remodeling (GO:0010902)	2	0	.10	-	 < 0.01	9.03E-01
regulation of very-low-density lipoprotein particle remodeling (GO:0010901)	6	0	.31	-	 < 0.01	7.36E-01
iron ion export across plasma membrane (GO:1903988)	1	0	.05	-	 < 0.01	9.50E-01
negative regulation of phosphatidylcholine catabolic process (GO:0010900)	1	0	.05	-	 < 0.01	9.50E-01
positive regulation of microglial cell activation (GO:1903980)	6	0	.31	-	 < 0.01	7.36E-01
positive regulation of glial cell migration (GO:1903977)	11	0	.56	-	 < 0.01	5.70E-01
positive regulation of glutamate neurotransmitter secretion in response to membrane depolarization (GO:0061646)	1	0	.05	-	 < 0.01	9.50E-01
negative regulation of glial cell migration (GO:1903976)	3	0	.15	-	 < 0.01	8.58E-01
regulation of glial cell migration (GO:1903975)	15	0	.77	-	 < 0.01	4.65E-01
chemorepulsion of axon (GO:0061643)	6	0	.31	-	 < 0.01	7.36E-01
positive regulation of cellular response to macrophage colony-stimulating factor stimulus (GO:1903974)	2	0	.10	-	 < 0.01	9.03E-01
chemoattraction of axon (GO:0061642)	4	0	.20	-	 < 0.01	8.15E-01
regulation of cellular response to macrophage colony-stimulating factor stimulus (GO:1903972)	5	0	.26	-	 < 0.01	7.75E-01
positive regulation of response to macrophage colony-stimulating factor (GO:1903971)	2	0	.10	-	 < 0.01	9.03E-01
helper T cell enhancement of adaptive immune response (GO:0035397)	1	0	.05	-	 < 0.01	9.50E-01
regulation of response to macrophage colony-stimulating factor (GO:1903969)	5	0	.26	-	 < 0.01	7.75E-01
monounsaturated fatty acid biosynthetic process (GO:1903966)	2	0	.10	-	 < 0.01	9.03E-01
monounsaturated fatty acid catabolic process (GO:1903965)	1	0	.05	-	 < 0.01	9.50E-01
monounsaturated fatty acid metabolic process (GO:1903964)	3	0	.15	-	 < 0.01	8.58E-01
positive regulation of anion transmembrane transport (GO:1903961)	12	0	.61	-	 < 0.01	5.42E-01
Roundabout signaling pathway (GO:0035385)	5	0	.26	-	 < 0.01	7.75E-01
sterol transmembrane transport (GO:0035382)	1	0	.05	-	 < 0.01	9.50E-01
fructose catabolic process to hydroxyacetone phosphate and glyceraldehyde-3-phosphate (GO:0061624)	4	0	.20	-	 < 0.01	8.15E-01
positive regulation of voltage-gated potassium channel activity involved in atrial cardiac muscle cell action potential repolarization (GO:1903954)	1	0	.05	-	 < 0.01	9.50E-01
glycolytic process from galactose (GO:0061623)	1	0	.05	-	 < 0.01	9.50E-01
glycolytic process through glucose-1-phosphate (GO:0061622)	2	0	.10	-	 < 0.01	9.03E-01
regulation of voltage-gated potassium channel activity involved in atrial cardiac muscle cell action potential repolarization (GO:1903952)	1	0	.05	-	 < 0.01	9.50E-01
carbon dioxide transmembrane transport (GO:0035378)	2	0	.10	-	 < 0.01	9.03E-01
transepithelial water transport (GO:0035377)	3	0	.15	-	 < 0.01	8.58E-01
positive regulation of atrial cardiac muscle cell action potential (GO:1903949)	1	0	.05	-	 < 0.01	9.50E-01
negative regulation of ventricular cardiac muscle cell action potential (GO:1903946)	1	0	.05	-	 < 0.01	9.50E-01
pri-miRNA transcription by RNA polymerase II (GO:0061614)	1	0	.05	-	 < 0.01	9.50E-01
negative regulation of hepatocyte apoptotic process (GO:1903944)	2	0	.10	-	 < 0.01	9.03E-01
regulation of hepatocyte apoptotic process (GO:1903943)	2	0	.10	-	 < 0.01	9.03E-01
myo-inositol transport (GO:0015798)	5	0	.26	-	 < 0.01	7.75E-01
mannose to fructose-6-phosphate metabolic process (GO:0061611)	1	0	.05	-	 < 0.01	9.50E-01
mannitol transport (GO:0015797)	1	0	.05	-	 < 0.01	9.50E-01
UDP-xylose transmembrane transport (GO:0015790)	1	0	.05	-	 < 0.01	9.50E-01
thymine transport (GO:0035364)	1	0	.05	-	 < 0.01	9.50E-01
regulation of TORC2 signaling (GO:1903939)	2	0	.10	-	 < 0.01	9.03E-01
response to acrylamide (GO:1903937)	2	0	.10	-	 < 0.01	9.03E-01
positive regulation of peroxisome proliferator activated receptor signaling pathway (GO:0035360)	9	0	.46	-	 < 0.01	6.31E-01
UDP-N-acetylgalactosamine transmembrane transport (GO:0015789)	3	0	.15	-	 < 0.01	8.58E-01
UDP-glucuronic acid transmembrane transport (GO:0015787)	3	0	.15	-	 < 0.01	8.58E-01
UDP-glucose transmembrane transport (GO:0015786)	2	0	.10	-	 < 0.01	9.03E-01
GDP-fucose transmembrane transport (GO:0015783)	1	0	.05	-	 < 0.01	9.50E-01
CMP-N-acetylneuraminate transmembrane transport (GO:0015782)	1	0	.05	-	 < 0.01	9.50E-01
negative regulation of peroxisome proliferator activated receptor signaling pathway (GO:0035359)	3	0	.15	-	 < 0.01	8.58E-01
regulation of peroxisome proliferator activated receptor signaling pathway (GO:0035358)	14	0	.72	-	 < 0.01	4.89E-01
peroxisome proliferator activated receptor signaling pathway (GO:0035357)	7	0	.36	-	 < 0.01	6.99E-01
cellular triglyceride homeostasis (GO:0035356)	7	0	.36	-	 < 0.01	6.99E-01
primary palate development (GO:1903929)	2	0	.10	-	 < 0.01	9.03E-01
NAD transmembrane transport (GO:0035352)	3	0	.15	-	 < 0.01	8.58E-01
cellular response to bisphenol A (GO:1903926)	1	0	.05	-	 < 0.01	9.50E-01
response to bisphenol A (GO:1903925)	1	0	.05	-	 < 0.01	9.50E-01
FAD transmembrane transport (GO:0035350)	2	0	.10	-	 < 0.01	9.03E-01
positive regulation of protein processing in phagocytic vesicle (GO:1903923)	2	0	.10	-	 < 0.01	9.03E-01
regulation of protein processing in phagocytic vesicle (GO:1903921)	2	0	.10	-	 < 0.01	9.03E-01
positive regulation of actin filament severing (GO:1903920)	1	0	.05	-	 < 0.01	9.50E-01
polysaccharide transport (GO:0015774)	1	0	.05	-	 < 0.01	9.50E-01
oligosaccharide transport (GO:0015772)	3	0	.15	-	 < 0.01	8.58E-01
sucrose transport (GO:0015770)	3	0	.15	-	 < 0.01	8.58E-01
coenzyme A transmembrane transport (GO:0035349)	2	0	.10	-	 < 0.01	9.03E-01
hypoxanthine transport (GO:0035344)	1	0	.05	-	 < 0.01	9.50E-01
negative regulation of actin filament severing (GO:1903919)	2	0	.10	-	 < 0.01	9.03E-01
regulation of actin filament severing (GO:1903918)	2	0	.10	-	 < 0.01	9.03E-01
positive regulation of endoplasmic reticulum stress-induced eIF2 alpha dephosphorylation (GO:1903917)	1	0	.05	-	 < 0.01	9.50E-01
angiotensin-activated signaling pathway involved in heart process (GO:0086098)	2	0	.10	-	 < 0.01	9.03E-01
regulation of endoplasmic reticulum stress-induced eIF2 alpha dephosphorylation (GO:1903916)	1	0	.05	-	 < 0.01	9.50E-01
inosine transport (GO:0035340)	1	0	.05	-	 < 0.01	9.50E-01
phospholipase C-activating angiotensin-activated signaling pathway (GO:0086097)	2	0	.10	-	 < 0.01	9.03E-01
negative regulation of endoplasmic reticulum stress-induced eIF2 alpha phosphorylation (GO:1903912)	5	0	.26	-	 < 0.01	7.75E-01
disaccharide transport (GO:0015766)	3	0	.15	-	 < 0.01	8.58E-01
regulation of the force of heart contraction by cardiac conduction (GO:0086092)	2	0	.10	-	 < 0.01	9.03E-01
negative regulation of receptor clustering (GO:1903910)	1	0	.05	-	 < 0.01	9.50E-01
regulation of heart rate by cardiac conduction (GO:0086091)	36	0	1.84	-	 < 0.01	1.59E-01
glucose-6-phosphate transport (GO:0015760)	6	0	.31	-	 < 0.01	7.36E-01
valine biosynthetic process (GO:0009099)	3	0	.15	-	 < 0.01	8.58E-01
leucine biosynthetic process (GO:0009098)	2	0	.10	-	 < 0.01	9.03E-01
isoleucine biosynthetic process (GO:0009097)	3	0	.15	-	 < 0.01	8.58E-01
aromatic amino acid family biosynthetic process, prephenate pathway (GO:0009095)	1	0	.05	-	 < 0.01	9.50E-01
cysteine catabolic process (GO:0009093)	4	0	.20	-	 < 0.01	8.15E-01
homoserine metabolic process (GO:0009092)	4	0	.20	-	 < 0.01	8.15E-01
positive regulation of hippo signaling (GO:0035332)	4	0	.20	-	 < 0.01	8.15E-01
regulation of plasma membrane raft polarization (GO:1903906)	1	0	.05	-	 < 0.01	9.50E-01
positive regulation of establishment of T cell polarity (GO:1903905)	2	0	.10	-	 < 0.01	9.03E-01
negative regulation of establishment of T cell polarity (GO:1903904)	1	0	.05	-	 < 0.01	9.50E-01
regulation of establishment of T cell polarity (GO:1903903)	4	0	.20	-	 < 0.01	8.15E-01
positive regulation of viral life cycle (GO:1903902)	29	0	1.48	-	 < 0.01	2.27E-01
galactose transmembrane transport (GO:0015757)	2	0	.10	-	 < 0.01	9.03E-01
fucose transmembrane transport (GO:0015756)	2	0	.10	-	 < 0.01	9.03E-01
fructose transmembrane transport (GO:0015755)	4	0	.20	-	 < 0.01	8.15E-01
pentose transmembrane transport (GO:0015750)	2	0	.10	-	 < 0.01	9.03E-01
hippo signaling (GO:0035329)	27	0	1.38	-	 < 0.01	2.52E-01
lysine biosynthetic process (GO:0009085)	2	0	.10	-	 < 0.01	9.03E-01
branched-chain amino acid biosynthetic process (GO:0009082)	5	0	.26	-	 < 0.01	7.75E-01
pyruvate family amino acid catabolic process (GO:0009080)	5	0	.26	-	 < 0.01	7.75E-01
bundle of His cell-Purkinje myocyte adhesion involved in cell communication (GO:0086073)	6	0	.31	-	 < 0.01	7.36E-01
urate transport (GO:0015747)	6	0	.31	-	 < 0.01	7.36E-01
citrate transport (GO:0015746)	3	0	.15	-	 < 0.01	8.58E-01
AV node cell-bundle of His cell adhesion involved in cell communication (GO:0086072)	1	0	.05	-	 < 0.01	9.50E-01
SA node cell to atrial cardiac muscle cell communication (GO:0086070)	8	0	.41	-	 < 0.01	6.65E-01
succinate transport (GO:0015744)	5	0	.26	-	 < 0.01	7.75E-01
malate transport (GO:0015743)	3	0	.15	-	 < 0.01	8.58E-01
alpha-ketoglutarate transport (GO:0015742)	4	0	.20	-	 < 0.01	8.15E-01
pyruvate family amino acid metabolic process (GO:0009078)	5	0	.26	-	 < 0.01	7.75E-01
non-replicative transposition, DNA-mediated (GO:0098038)	1	0	.05	-	 < 0.01	9.50E-01
serine family amino acid catabolic process (GO:0009071)	13	0	.66	-	 < 0.01	5.15E-01
wound healing, spreading of epidermal cells (GO:0035313)	10	0	.51	-	 < 0.01	6.00E-01
bundle of His cell to Purkinje myocyte communication (GO:0086069)	13	0	.66	-	 < 0.01	5.15E-01
Purkinje myocyte to ventricular cardiac muscle cell communication (GO:0086068)	6	0	.31	-	 < 0.01	7.36E-01
AV node cell to bundle of His cell communication (GO:0086067)	10	0	.51	-	 < 0.01	6.00E-01
atrial cardiac muscle cell to AV node cell communication (GO:0086066)	12	0	.61	-	 < 0.01	5.42E-01
cell communication involved in cardiac conduction (GO:0086065)	40	0	2.04	-	 < 0.01	1.29E-01
sialic acid transport (GO:0015739)	5	0	.26	-	 < 0.01	7.75E-01
cell communication by electrical coupling involved in cardiac conduction (GO:0086064)	15	0	.77	-	 < 0.01	4.65E-01
prostaglandin transport (GO:0015732)	6	0	.31	-	 < 0.01	7.36E-01
Purkinje myocyte to ventricular cardiac muscle cell communication by electrical coupling (GO:0086055)	1	0	.05	-	 < 0.01	9.50E-01
oxaloacetate transport (GO:0015729)	3	0	.15	-	 < 0.01	8.58E-01
bundle of His cell to Purkinje myocyte communication by electrical coupling (GO:0086054)	1	0	.05	-	 < 0.01	9.50E-01
mevalonate transport (GO:0015728)	1	0	.05	-	 < 0.01	9.50E-01
AV node cell to bundle of His cell communication by electrical coupling (GO:0086053)	2	0	.10	-	 < 0.01	9.03E-01
lactate transport (GO:0015727)	7	0	.36	-	 < 0.01	6.99E-01
membrane repolarization during SA node cell action potential (GO:0086052)	1	0	.05	-	 < 0.01	9.50E-01
