




Analysis Type:	PANTHER Overrepresentation Test (Released 20200728)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4437524 Released 2021-01-01
Analyzed List:	upload_1 (Mus musculus)
Reference List:	mouse_bg.txt (Mus musculus)	There are duplicate IDs in the file. The unique set of IDs will be used.
Test Type:	BINOMIAL
Correction:	NONE
GO biological process complete	mouse_bg.txt - REFLIST (18060)	upload_1 (421)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)
modulation by virus of host autophagy (GO:0039519)	3	0	.07	-	 < 0.01	9.32E-01
cGMP-mediated signaling (GO:0019934)	23	0	.54	-	 < 0.01	5.85E-01
negative regulation of phospholipid metabolic process (GO:1903726)	5	0	.12	-	 < 0.01	8.90E-01
positive regulation of centriole elongation (GO:1903724)	3	0	.07	-	 < 0.01	9.32E-01
negative regulation of centriole elongation (GO:1903723)	2	0	.05	-	 < 0.01	9.54E-01
regulation of centriole elongation (GO:1903722)	5	0	.12	-	 < 0.01	8.90E-01
negative regulation of I-kappaB phosphorylation (GO:1903720)	1	0	.02	-	 < 0.01	9.77E-01
regulation of aerobic respiration (GO:1903715)	9	0	.21	-	 < 0.01	8.11E-01
asparagine transmembrane transport (GO:1903713)	1	0	.02	-	 < 0.01	9.77E-01
cysteine transmembrane transport (GO:1903712)	1	0	.02	-	 < 0.01	9.77E-01
spermine transmembrane transport (GO:1903710)	1	0	.02	-	 < 0.01	9.77E-01
peptidyl-arginine methylation, to asymmetrical-dimethyl arginine (GO:0019919)	4	0	.09	-	 < 0.01	9.11E-01
forelimb morphogenesis (GO:0035136)	45	0	1.05	-	 < 0.01	3.50E-01
uterine gland development (GO:1903709)	1	0	.02	-	 < 0.01	9.77E-01
negative regulation of production of siRNA involved in RNA interference (GO:1903704)	1	0	.02	-	 < 0.01	9.77E-01
substantia propria of cornea development (GO:1903701)	1	0	.02	-	 < 0.01	9.77E-01
post-embryonic forelimb morphogenesis (GO:0035128)	1	0	.02	-	 < 0.01	9.77E-01
post-embryonic limb morphogenesis (GO:0035127)	1	0	.02	-	 < 0.01	9.77E-01
post-embryonic appendage morphogenesis (GO:0035120)	1	0	.02	-	 < 0.01	9.77E-01
cell-cell signaling involved in kidney development (GO:0060995)	2	0	.05	-	 < 0.01	9.54E-01
regulation of transcription from RNA polymerase II promoter involved in kidney development (GO:0060994)	1	0	.02	-	 < 0.01	9.77E-01
response to fungicide (GO:0060992)	1	0	.02	-	 < 0.01	9.77E-01
embryonic forelimb morphogenesis (GO:0035115)	36	0	.84	-	 < 0.01	4.32E-01
genitalia morphogenesis (GO:0035112)	16	0	.37	-	 < 0.01	6.89E-01
lipid tube assembly (GO:0060988)	3	0	.07	-	 < 0.01	9.32E-01
epicardium-derived cardiac vascular smooth muscle cell differentiation (GO:0060983)	2	0	.05	-	 < 0.01	9.54E-01
coronary artery morphogenesis (GO:0060982)	10	0	.23	-	 < 0.01	7.92E-01
cell migration involved in coronary angiogenesis (GO:0060981)	1	0	.02	-	 < 0.01	9.77E-01
cell migration involved in coronary vasculogenesis (GO:0060980)	1	0	.02	-	 < 0.01	9.77E-01
operant conditioning (GO:0035106)	5	0	.12	-	 < 0.01	8.90E-01
angiogenesis involved in coronary vascular morphogenesis (GO:0060978)	7	0	.16	-	 < 0.01	8.49E-01
cardioblast migration to the midline involved in heart field formation (GO:0060975)	1	0	.02	-	 < 0.01	9.77E-01
cell migration involved in heart formation (GO:0060974)	2	0	.05	-	 < 0.01	9.54E-01
cell migration involved in heart development (GO:0060973)	14	0	.33	-	 < 0.01	7.21E-01
embryonic heart tube left/right pattern formation (GO:0060971)	6	0	.14	-	 < 0.01	8.69E-01
decidualization (GO:0046697)	21	0	.49	-	 < 0.01	6.13E-01
sperm competition (GO:0046692)	1	0	.02	-	 < 0.01	9.77E-01
negative regulation of gene silencing (GO:0060969)	28	0	.65	-	 < 0.01	5.20E-01
negative regulation of gene silencing by RNA (GO:0060967)	21	0	.49	-	 < 0.01	6.13E-01
negative regulation of gene silencing by miRNA (GO:0060965)	19	0	.44	-	 < 0.01	6.42E-01
response to mercury ion (GO:0046689)	11	0	.26	-	 < 0.01	7.74E-01
response to chromate (GO:0046687)	1	0	.02	-	 < 0.01	9.77E-01
response to pyrethroid (GO:0046684)	3	0	.07	-	 < 0.01	9.32E-01
response to organophosphorus (GO:0046683)	87	0	2.03	-	 < 0.01	1.31E-01
endocardial cell fate commitment (GO:0060957)	1	0	.02	-	 < 0.01	9.77E-01
response to antibiotic (GO:0046677)	32	0	.75	-	 < 0.01	4.74E-01
negative regulation of retinal cell programmed cell death (GO:0046671)	2	0	.05	-	 < 0.01	9.54E-01
positive regulation of retinal cell programmed cell death (GO:0046670)	1	0	.02	-	 < 0.01	9.77E-01
cardiac vascular smooth muscle cell development (GO:0060948)	5	0	.12	-	 < 0.01	8.90E-01
cardiac vascular smooth muscle cell differentiation (GO:0060947)	13	0	.30	-	 < 0.01	7.38E-01
cardiac neuron differentiation (GO:0060945)	1	0	.02	-	 < 0.01	9.77E-01
epithelial to mesenchymal transition involved in cardiac fibroblast development (GO:0060940)	1	0	.02	-	 < 0.01	9.77E-01
regulation of retinal cell programmed cell death (GO:0046668)	5	0	.12	-	 < 0.01	8.90E-01
retinal cell programmed cell death (GO:0046666)	3	0	.07	-	 < 0.01	9.32E-01
His-Purkinje system cell differentiation (GO:0060932)	2	0	.05	-	 < 0.01	9.54E-01
sinoatrial node cell development (GO:0060931)	6	0	.14	-	 < 0.01	8.69E-01
sinoatrial node cell fate commitment (GO:0060930)	1	0	.02	-	 < 0.01	9.77E-01
folic acid metabolic process (GO:0046655)	5	0	.12	-	 < 0.01	8.90E-01
tetrahydrofolate biosynthetic process (GO:0046654)	6	0	.14	-	 < 0.01	8.69E-01
tetrahydrofolate metabolic process (GO:0046653)	19	0	.44	-	 < 0.01	6.42E-01
vocal learning (GO:0042297)	7	0	.16	-	 < 0.01	8.49E-01
atrioventricular node cell fate commitment (GO:0060929)	1	0	.02	-	 < 0.01	9.77E-01
atrioventricular node cell development (GO:0060928)	2	0	.05	-	 < 0.01	9.54E-01
cardiac pacemaker cell fate commitment (GO:0060927)	2	0	.05	-	 < 0.01	9.54E-01
cardiac pacemaker cell development (GO:0060926)	8	0	.19	-	 < 0.01	8.30E-01
cardiac muscle cell fate commitment (GO:0060923)	7	0	.16	-	 < 0.01	8.49E-01
atrioventricular node cell differentiation (GO:0060922)	2	0	.05	-	 < 0.01	9.54E-01
sinoatrial node cell differentiation (GO:0060921)	7	0	.16	-	 < 0.01	8.49E-01
cardiac pacemaker cell differentiation (GO:0060920)	9	0	.21	-	 < 0.01	8.11E-01
positive regulation of regulation of vascular associated smooth muscle cell membrane depolarization (GO:1904199)	1	0	.02	-	 < 0.01	9.77E-01
positive regulation of granulosa cell proliferation (GO:1904197)	1	0	.02	-	 < 0.01	9.77E-01
regulation of granulosa cell proliferation (GO:1904195)	1	0	.02	-	 < 0.01	9.77E-01
positive regulation of gamma-delta T cell activation (GO:0046645)	9	0	.21	-	 < 0.01	8.11E-01
negative regulation of cholangiocyte apoptotic process (GO:1904193)	3	0	.07	-	 < 0.01	9.32E-01
regulation of gamma-delta T cell activation (GO:0046643)	12	0	.28	-	 < 0.01	7.56E-01
regulation of cholangiocyte apoptotic process (GO:1904192)	3	0	.07	-	 < 0.01	9.32E-01
negative regulation of alpha-beta T cell proliferation (GO:0046642)	13	0	.30	-	 < 0.01	7.38E-01
cellular response to interleukin-17 (GO:0097398)	4	0	.09	-	 < 0.01	9.11E-01
positive regulation of alpha-beta T cell proliferation (GO:0046641)	22	0	.51	-	 < 0.01	5.99E-01
regulation of alpha-beta T cell proliferation (GO:0046640)	37	0	.86	-	 < 0.01	4.22E-01
response to interleukin-17 (GO:0097396)	4	0	.09	-	 < 0.01	9.11E-01
heart formation (GO:0060914)	16	0	.37	-	 < 0.01	6.89E-01
chemotaxis to arachidonic acid (GO:0034670)	1	0	.02	-	 < 0.01	9.77E-01
cardiac cell fate determination (GO:0060913)	4	0	.09	-	 < 0.01	9.11E-01
cardiac cell fate specification (GO:0060912)	1	0	.02	-	 < 0.01	9.77E-01
cardiac cell fate commitment (GO:0060911)	12	0	.28	-	 < 0.01	7.56E-01
negative regulation of alpha-beta T cell differentiation (GO:0046639)	27	0	.63	-	 < 0.01	5.33E-01
negative regulation of transformation of host cell by virus (GO:1904188)	1	0	.02	-	 < 0.01	9.77E-01
positive regulation of alpha-beta T cell differentiation (GO:0046638)	48	0	1.12	-	 < 0.01	3.26E-01
regulation of transformation of host cell by virus (GO:1904187)	1	0	.02	-	 < 0.01	9.77E-01
regulation of alpha-beta T cell differentiation (GO:0046637)	65	0	1.52	-	 < 0.01	2.19E-01
negative regulation of alpha-beta T cell activation (GO:0046636)	42	0	.98	-	 < 0.01	3.75E-01
positive regulation of pyruvate dehydrogenase activity (GO:1904184)	2	0	.05	-	 < 0.01	9.54E-01
alpha-beta T cell proliferation (GO:0046633)	4	0	.09	-	 < 0.01	9.11E-01
regulation of pyruvate dehydrogenase activity (GO:1904182)	3	0	.07	-	 < 0.01	9.32E-01
alpha-beta T cell differentiation (GO:0046632)	68	0	1.59	-	 < 0.01	2.04E-01
positive regulation of membrane depolarization (GO:1904181)	12	0	.28	-	 < 0.01	7.56E-01
alpha-beta T cell activation (GO:0046631)	84	0	1.96	-	 < 0.01	1.40E-01
negative regulation of membrane depolarization (GO:1904180)	6	0	.14	-	 < 0.01	8.69E-01
purine nucleoside metabolic process (GO:0042278)	58	0	1.35	-	 < 0.01	2.58E-01
cellular lipid biosynthetic process (GO:0097384)	12	0	.28	-	 < 0.01	7.56E-01
error-prone translesion synthesis (GO:0042276)	5	0	.12	-	 < 0.01	8.90E-01
error-free postreplication DNA repair (GO:0042275)	2	0	.05	-	 < 0.01	9.54E-01
positive regulation of macrophage cytokine production (GO:0060907)	11	0	.26	-	 < 0.01	7.74E-01
susceptibility to natural killer cell mediated cytotoxicity (GO:0042271)	2	0	.05	-	 < 0.01	9.54E-01
protection from natural killer cell mediated cytotoxicity (GO:0042270)	7	0	.16	-	 < 0.01	8.49E-01
ncRNA catabolic process (GO:0034661)	25	0	.58	-	 < 0.01	5.58E-01
positive regulation of meiosis I (GO:0060903)	5	0	.12	-	 < 0.01	8.90E-01
regulation of hair cycle by canonical Wnt signaling pathway (GO:0060901)	1	0	.02	-	 < 0.01	9.77E-01
positive regulation of adipose tissue development (GO:1904179)	6	0	.14	-	 < 0.01	8.69E-01
gamma-delta T cell activation (GO:0046629)	11	0	.26	-	 < 0.01	7.74E-01
negative regulation of adipose tissue development (GO:1904178)	3	0	.07	-	 < 0.01	9.32E-01
regulation of adipose tissue development (GO:1904177)	9	0	.21	-	 < 0.01	8.11E-01
regulation of histone demethylase activity (H3-K4 specific) (GO:1904173)	2	0	.05	-	 < 0.01	9.54E-01
positive regulation of bleb assembly (GO:1904172)	2	0	.05	-	 < 0.01	9.54E-01
negative regulation of bleb assembly (GO:1904171)	1	0	.02	-	 < 0.01	9.77E-01
regulation of bleb assembly (GO:1904170)	3	0	.07	-	 < 0.01	9.32E-01
regulation of natural killer cell mediated cytotoxicity (GO:0042269)	43	0	1.00	-	 < 0.01	3.67E-01
regulation of cytolysis (GO:0042268)	3	0	.07	-	 < 0.01	9.32E-01
interneuron axon guidance (GO:0097376)	1	0	.02	-	 < 0.01	9.77E-01
natural killer cell mediated cytotoxicity (GO:0042267)	13	0	.30	-	 < 0.01	7.38E-01
sensory neuron axon guidance (GO:0097374)	3	0	.07	-	 < 0.01	9.32E-01
nucleobase-containing small molecule catabolic process (GO:0034656)	25	0	.58	-	 < 0.01	5.58E-01
peptidyl-asparagine hydroxylation (GO:0042265)	1	0	.02	-	 < 0.01	9.77E-01
peptidyl-aspartic acid hydroxylation (GO:0042264)	2	0	.05	-	 < 0.01	9.54E-01
retinoic acid catabolic process (GO:0034653)	5	0	.12	-	 < 0.01	8.90E-01
DNA protection (GO:0042262)	2	0	.05	-	 < 0.01	9.54E-01
protein O-GlcNAcylation via threonine (GO:0097370)	1	0	.02	-	 < 0.01	9.77E-01
cortisol biosynthetic process (GO:0034651)	2	0	.05	-	 < 0.01	9.54E-01
cortisol metabolic process (GO:0034650)	4	0	.09	-	 < 0.01	9.11E-01
intestinal cholesterol absorption (GO:0030299)	7	0	.16	-	 < 0.01	8.49E-01
optic placode formation involved in camera-type eye formation (GO:0046619)	2	0	.05	-	 < 0.01	9.54E-01
drug export (GO:0046618)	3	0	.07	-	 < 0.01	9.32E-01
DNA synthesis involved in UV-damage excision repair (GO:1904161)	2	0	.05	-	 < 0.01	9.54E-01
establishment of Sertoli cell barrier (GO:0097368)	5	0	.12	-	 < 0.01	8.90E-01
mature ribosome assembly (GO:0042256)	6	0	.14	-	 < 0.01	8.69E-01
establishment of mitochondrion localization, microtubule-mediated (GO:0034643)	21	0	.49	-	 < 0.01	6.13E-01
mitochondrion migration along actin filament (GO:0034642)	1	0	.02	-	 < 0.01	9.77E-01
establishment of mitochondrion localization by microtubule attachment (GO:0034640)	1	0	.02	-	 < 0.01	9.77E-01
DN3 thymocyte differentiation (GO:1904156)	1	0	.02	-	 < 0.01	9.77E-01
negative regulation of centrosome cycle (GO:0046606)	11	0	.26	-	 < 0.01	7.74E-01
DN2 thymocyte differentiation (GO:1904155)	1	0	.02	-	 < 0.01	9.77E-01
regulation of centrosome cycle (GO:0046605)	49	0	1.14	-	 < 0.01	3.19E-01
positive regulation of retrograde protein transport, ER to cytosol (GO:1904154)	3	0	.07	-	 < 0.01	9.32E-01
positive regulation of microglial cell mediated cytotoxicity (GO:1904151)	3	0	.07	-	 < 0.01	9.32E-01
positive regulation of centriole replication (GO:0046601)	5	0	.12	-	 < 0.01	8.90E-01
negative regulation of centriole replication (GO:0046600)	6	0	.14	-	 < 0.01	8.69E-01
establishment of planar polarity of embryonic epithelium (GO:0042249)	5	0	.12	-	 < 0.01	8.90E-01
phosphatidylcholine catabolic process (GO:0034638)	12	0	.28	-	 < 0.01	7.56E-01
protein localization to heterochromatin (GO:0097355)	2	0	.05	-	 < 0.01	9.54E-01
establishment of planar polarity of follicular epithelium (GO:0042247)	1	0	.02	-	 < 0.01	9.77E-01
prenylation (GO:0097354)	11	0	.26	-	 < 0.01	7.74E-01
RNA repair (GO:0042245)	2	0	.05	-	 < 0.01	9.54E-01
autophagosome maturation (GO:0097352)	21	0	.49	-	 < 0.01	6.13E-01
neutrophil clearance (GO:0097350)	4	0	.09	-	 < 0.01	9.11E-01
retinol transport (GO:0034633)	2	0	.05	-	 < 0.01	9.54E-01
maintenance of gastrointestinal epithelium (GO:0030277)	13	0	.30	-	 < 0.01	7.38E-01
regulation of microglial cell mediated cytotoxicity (GO:1904149)	3	0	.07	-	 < 0.01	9.32E-01
negative regulation of meiotic cell cycle process involved in oocyte maturation (GO:1904145)	1	0	.02	-	 < 0.01	9.77E-01
negative regulation of alkaline phosphatase activity (GO:0010693)	5	0	.12	-	 < 0.01	8.90E-01
negative regulation of microglial cell migration (GO:1904140)	1	0	.02	-	 < 0.01	9.77E-01
cellular protein-containing complex localization (GO:0034629)	25	0	.58	-	 < 0.01	5.58E-01
mitochondrial outer membrane permeabilization (GO:0097345)	8	0	.19	-	 < 0.01	8.30E-01
'de novo' NAD biosynthetic process (GO:0034627)	4	0	.09	-	 < 0.01	9.11E-01
ripoptosome assembly (GO:0097343)	2	0	.05	-	 < 0.01	9.54E-01
zymogen inhibition (GO:0097341)	7	0	.16	-	 < 0.01	8.49E-01
inhibition of cysteine-type endopeptidase activity (GO:0097340)	6	0	.14	-	 < 0.01	8.69E-01
nuclear fragmentation involved in apoptotic nuclear change (GO:0030264)	1	0	.02	-	 < 0.01	9.77E-01
response to laminar fluid shear stress (GO:0034616)	7	0	.16	-	 < 0.01	8.49E-01
growth hormone secretion (GO:0030252)	5	0	.12	-	 < 0.01	8.90E-01
positive regulation of otic vesicle morphogenesis (GO:1904120)	1	0	.02	-	 < 0.01	9.77E-01
cellular modified amino acid catabolic process (GO:0042219)	21	0	.49	-	 < 0.01	6.13E-01
response to antineoplastic agent (GO:0097327)	1	0	.02	-	 < 0.01	9.77E-01
melanocyte adhesion (GO:0097326)	1	0	.02	-	 < 0.01	9.77E-01
melanocyte proliferation (GO:0097325)	2	0	.05	-	 < 0.01	9.54E-01
B cell adhesion (GO:0097323)	1	0	.02	-	 < 0.01	9.77E-01
terpene metabolic process (GO:0042214)	1	0	.02	-	 < 0.01	9.77E-01
autophagy of peroxisome (GO:0030242)	6	0	.14	-	 < 0.01	8.69E-01
skeletal muscle myosin thick filament assembly (GO:0030241)	2	0	.05	-	 < 0.01	9.54E-01
skeletal muscle thin filament assembly (GO:0030240)	6	0	.14	-	 < 0.01	8.69E-01
epithelial structure maintenance (GO:0010669)	21	0	.49	-	 < 0.01	6.13E-01
ectodermal cell differentiation (GO:0010668)	5	0	.12	-	 < 0.01	8.90E-01
regulation of otic vesicle morphogenesis (GO:1904118)	1	0	.02	-	 < 0.01	9.77E-01
cellular response to vasopressin (GO:1904117)	2	0	.05	-	 < 0.01	9.54E-01
positive regulation of cardiac muscle cell apoptotic process (GO:0010666)	21	0	.49	-	 < 0.01	6.13E-01
response to vasopressin (GO:1904116)	2	0	.05	-	 < 0.01	9.54E-01
positive regulation of striated muscle cell apoptotic process (GO:0010663)	22	0	.51	-	 < 0.01	5.99E-01
negative regulation of muscle filament sliding (GO:1904113)	1	0	.02	-	 < 0.01	9.77E-01
positive regulation of muscle cell apoptotic process (GO:0010661)	37	0	.86	-	 < 0.01	4.22E-01
maternal determination of anterior/posterior axis, embryo (GO:0008358)	3	0	.07	-	 < 0.01	9.32E-01
L-histidine transmembrane transport (GO:0089709)	4	0	.09	-	 < 0.01	9.11E-01
asymmetric cell division (GO:0008356)	17	0	.40	-	 < 0.01	6.73E-01
L-histidine transmembrane export from vacuole (GO:0089708)	1	0	.02	-	 < 0.01	9.77E-01
cap2 mRNA methylation (GO:0097310)	1	0	.02	-	 < 0.01	9.77E-01
protein kinase D signaling (GO:0089700)	3	0	.07	-	 < 0.01	9.32E-01
male sex determination (GO:0030238)	16	0	.37	-	 < 0.01	6.89E-01
female sex determination (GO:0030237)	2	0	.05	-	 < 0.01	9.54E-01
positive regulation of cholesterol import (GO:1904109)	4	0	.09	-	 < 0.01	9.11E-01
cardiac muscle cell apoptotic process (GO:0010659)	6	0	.14	-	 < 0.01	8.69E-01
striated muscle cell apoptotic process (GO:0010658)	6	0	.14	-	 < 0.01	8.69E-01
protein localization to ciliary inversin compartment (GO:1904108)	1	0	.02	-	 < 0.01	9.77E-01
muscle cell apoptotic process (GO:0010657)	7	0	.16	-	 < 0.01	8.49E-01
protein localization to microvillus (GO:1904106)	2	0	.05	-	 < 0.01	9.54E-01
positive regulation of cell communication by chemical coupling (GO:0010652)	2	0	.05	-	 < 0.01	9.54E-01
negative regulation of antimicrobial humoral response (GO:0008348)	1	0	.02	-	 < 0.01	9.77E-01
cap1 mRNA methylation (GO:0097309)	1	0	.02	-	 < 0.01	9.77E-01
positive regulation of protein O-linked glycosylation (GO:1904100)	3	0	.07	-	 < 0.01	9.32E-01
positive regulation of cell communication by electrical coupling (GO:0010650)	1	0	.02	-	 < 0.01	9.77E-01
adult feeding behavior (GO:0008343)	9	0	.21	-	 < 0.01	8.11E-01
programmed necrotic cell death (GO:0097300)	29	0	.68	-	 < 0.01	5.08E-01
extracellular matrix disassembly (GO:0022617)	18	0	.42	-	 < 0.01	6.57E-01
macrophage differentiation (GO:0030225)	23	0	.54	-	 < 0.01	5.85E-01
DNA strand elongation (GO:0022616)	18	0	.42	-	 < 0.01	6.57E-01
monocyte differentiation (GO:0030224)	14	0	.33	-	 < 0.01	7.21E-01
protein to membrane docking (GO:0022615)	4	0	.09	-	 < 0.01	9.11E-01
neutrophil differentiation (GO:0030223)	6	0	.14	-	 < 0.01	8.69E-01
membrane to membrane docking (GO:0022614)	1	0	.02	-	 < 0.01	9.77E-01
eosinophil differentiation (GO:0030222)	3	0	.07	-	 < 0.01	9.32E-01
basophil differentiation (GO:0030221)	1	0	.02	-	 < 0.01	9.77E-01
platelet formation (GO:0030220)	18	0	.42	-	 < 0.01	6.57E-01
regulation of cell communication by electrical coupling (GO:0010649)	8	0	.19	-	 < 0.01	8.30E-01
regulation of cell communication by chemical coupling (GO:0010645)	2	0	.05	-	 < 0.01	9.54E-01
cell communication by electrical coupling (GO:0010644)	8	0	.19	-	 < 0.01	8.30E-01
cell communication by chemical coupling (GO:0010643)	3	0	.07	-	 < 0.01	9.32E-01
negative regulation of platelet-derived growth factor receptor signaling pathway (GO:0010642)	14	0	.33	-	 < 0.01	7.21E-01
histone mRNA metabolic process (GO:0008334)	15	0	.35	-	 < 0.01	7.05E-01
megakaryocyte differentiation (GO:0030219)	24	0	.56	-	 < 0.01	5.71E-01
hyaluronan catabolic process (GO:0030214)	10	0	.23	-	 < 0.01	7.92E-01
mammalian oogenesis stage (GO:0022605)	7	0	.16	-	 < 0.01	8.49E-01
hyaluronan biosynthetic process (GO:0030213)	6	0	.14	-	 < 0.01	8.69E-01
heparin catabolic process (GO:0030211)	1	0	.02	-	 < 0.01	9.77E-01
menstrual cycle phase (GO:0022601)	2	0	.05	-	 < 0.01	9.54E-01
heparin biosynthetic process (GO:0030210)	6	0	.14	-	 < 0.01	8.69E-01
negative regulation of mitochondrial fusion (GO:0010637)	8	0	.19	-	 < 0.01	8.30E-01
positive regulation of mitochondrial fusion (GO:0010636)	4	0	.09	-	 < 0.01	9.11E-01
regulation of mitochondrial fusion (GO:0010635)	12	0	.28	-	 < 0.01	7.56E-01
cell migration in diencephalon (GO:0061381)	1	0	.02	-	 < 0.01	9.77E-01
dermatan sulfate catabolic process (GO:0030209)	1	0	.02	-	 < 0.01	9.77E-01
dermatan sulfate biosynthetic process (GO:0030208)	3	0	.07	-	 < 0.01	9.32E-01
chondroitin sulfate catabolic process (GO:0030207)	1	0	.02	-	 < 0.01	9.77E-01
chondroitin sulfate biosynthetic process (GO:0030206)	14	0	.33	-	 < 0.01	7.21E-01
dermatan sulfate metabolic process (GO:0030205)	5	0	.12	-	 < 0.01	8.90E-01
heparin metabolic process (GO:0030202)	8	0	.19	-	 < 0.01	8.30E-01
heparan sulfate proteoglycan metabolic process (GO:0030201)	24	0	.56	-	 < 0.01	5.71E-01
heparan sulfate proteoglycan catabolic process (GO:0030200)	3	0	.07	-	 < 0.01	9.32E-01
negative regulation of Schwann cell proliferation (GO:0010626)	6	0	.14	-	 < 0.01	8.69E-01
positive regulation of Schwann cell proliferation (GO:0010625)	1	0	.02	-	 < 0.01	9.77E-01
regulation of Schwann cell proliferation (GO:0010624)	8	0	.19	-	 < 0.01	8.30E-01
programmed cell death involved in cell development (GO:0010623)	13	0	.30	-	 < 0.01	7.38E-01
inferior colliculus development (GO:0061379)	2	0	.05	-	 < 0.01	9.54E-01
corpora quadrigemina development (GO:0061378)	2	0	.05	-	 < 0.01	9.54E-01
G2/MI transition of meiotic cell cycle (GO:0008315)	2	0	.05	-	 < 0.01	9.54E-01
mammillothalamic axonal tract development (GO:0061374)	1	0	.02	-	 < 0.01	9.77E-01
